iter	MultiClass
0	1.084982432
1	1.070091012
2	1.058637605
3	1.048246526
4	1.03836736
5	1.029490902
6	1.020993872
7	1.012896389
8	1.006890953
9	1.000534161
10	0.9935323358
11	0.9871327772
12	0.9819649254
13	0.975805269
14	0.9704063041
15	0.9660604333
16	0.9625078409
17	0.9587561289
18	0.9541026064
19	0.9500928999
20	0.9454371405
21	0.9409406468
22	0.9378888856
23	0.9347007175
24	0.9301946397
25	0.9269924125
26	0.9231798827
27	0.9194694962
28	0.9172363073
29	0.9132265349
30	0.9108742733
31	0.9080834651
32	0.9039912816
33	0.9015465736
34	0.8987773939
35	0.8966601525
36	0.8940093234
37	0.891496157
38	0.8883784005
39	0.8849355958
40	0.8812222916
41	0.8785610044
42	0.8763077757
43	0.8735849779
44	0.8707978551
45	0.8681290408
46	0.8655716555
47	0.8629639915
48	0.8599387981
49	0.85763584
50	0.8543082834
51	0.8520031713
52	0.8498608198
53	0.8470515602
54	0.8445911487
55	0.8432286033
56	0.8419926769
57	0.8405065612
58	0.8380295587
59	0.8359909984
60	0.8338263677
61	0.8319368984
62	0.829346273
63	0.8264325268
64	0.8235957502
65	0.8215087031
66	0.8194715854
67	0.8165254804
68	0.8145026094
69	0.8125282967
70	0.811276302
71	0.8091346723
72	0.8067941883
73	0.8043729967
74	0.8023122494
75	0.8004351011
76	0.7983057291
77	0.7953513566
78	0.7936431247
79	0.7921027928
80	0.7901908984
81	0.7873534348
82	0.7851874124
83	0.7834846964
84	0.7819077984
85	0.7797351377
86	0.7782045781
87	0.7768103023
88	0.7758408085
89	0.7739901854
90	0.7723506009
91	0.7700107504
92	0.768456258
93	0.7670145953
94	0.7651939744
95	0.7640097969
96	0.7622506803
97	0.7613705303
98	0.7590380301
99	0.7570610297
100	0.7554669475
101	0.7527524306
102	0.7508435428
103	0.749134291
104	0.748050639
105	0.7460099063
106	0.7449149065
107	0.7422208257
108	0.7411012547
109	0.7403542424
110	0.7384740913
111	0.7359364997
112	0.7338240036
113	0.7317936188
114	0.729240747
115	0.7277369106
116	0.726668028
117	0.7248907307
118	0.7235309956
119	0.7226395155
120	0.7210668658
121	0.7179716566
