iter	Passed	Remaining
0	11	11732
1	15	7523
2	18	6160
3	22	5610
4	27	5422
5	30	5115
6	34	4860
7	38	4724
8	42	4654
9	46	4583
10	50	4546
11	54	4486
12	59	4481
13	62	4430
14	66	4343
15	69	4277
16	75	4357
17	80	4414
18	84	4340
19	88	4313
20	91	4285
21	95	4240
22	98	4200
23	102	4155
24	108	4227
25	113	4243
26	117	4217
27	120	4200
28	125	4188
29	128	4150
30	131	4123
31	135	4097
32	139	4081
33	142	4052
34	147	4067
35	152	4087
36	158	4136
37	162	4109
38	165	4073
39	169	4061
40	173	4057
41	177	4054
42	180	4023
43	183	3997
44	188	3989
45	191	3963
46	194	3942
47	197	3924
48	206	3998
49	209	3978
50	213	3964
51	218	3991
52	225	4022
53	228	4007
54	238	4089
55	242	4081
56	259	4290
57	262	4269
58	270	4309
59	274	4298
60	277	4277
61	283	4290
62	288	4285
63	291	4266
64	296	4258
65	302	4276
66	305	4261
67	309	4247
68	316	4270
69	321	4265
70	325	4257
71	328	4237
72	334	4243
73	338	4238
74	342	4223
75	346	4216
76	351	4214
77	355	4203
78	359	4188
79	364	4188
80	368	4177
81	371	4158
82	375	4144
83	378	4129
84	382	4115
85	386	4106
86	389	4088
87	393	4075
88	398	4076
89	402	4073
90	406	4057
91	411	4056
92	414	4044
93	418	4035
94	422	4022
95	425	4008
96	435	4057
97	439	4041
98	442	4026
99	446	4016
100	450	4013
101	454	3998
102	458	3990
103	462	3985
104	467	3980
105	470	3967
106	473	3955
107	478	3948
108	482	3941
109	485	3929
110	489	3918
111	492	3908
112	496	3899
113	500	3886
114	503	3871
115	506	3858
116	509	3848
117	513	3841
118	517	3829
119	521	3820
120	525	3816
121	529	3807
122	532	3798
123	536	3786
124	539	3775
125	543	3769
126	548	3768
127	551	3758
128	555	3750
129	559	3745
130	563	3735
131	566	3723
132	569	3712
133	573	3704
134	576	3694
135	580	3686
136	583	3674
137	586	3665
138	591	3662
139	595	3660
140	599	3650
141	602	3642
142	606	3637
143	610	3630
144	614	3620
145	617	3611
146	620	3602
147	624	3594
148	628	3588
149	631	3578
150	635	3571
151	640	3571
152	644	3568
153	647	3558
154	651	3549
155	654	3543
156	659	3539
157	662	3531
158	665	3522
159	669	3514
160	673	3508
161	676	3500
162	680	3491
163	684	3487
164	688	3481
165	691	3472
166	694	3464
167	697	3454
168	700	3444
169	703	3436
170	707	3431
171	711	3422
172	713	3412
173	717	3404
174	720	3398
175	724	3393
176	727	3383
177	731	3376
178	734	3367
179	738	3365
180	742	3360
181	745	3352
182	749	3346
183	753	3342
184	757	3336
185	760	3328
186	764	3321
187	767	3316
188	771	3311
189	774	3303
190	778	3298
191	781	3290
192	785	3285
193	789	3280
194	793	3273
195	796	3267
196	800	3261
197	803	3254
198	807	3248
199	810	3241
200	813	3235
201	818	3231
202	821	3224
203	824	3217
204	827	3209
205	831	3203
206	834	3197
207	838	3194
208	842	3187
209	845	3181
210	849	3177
211	853	3171
212	856	3164
213	859	3157
214	863	3152
215	866	3146
216	871	3142
217	874	3135
218	877	3129
219	881	3124
220	885	3119
221	888	3114
222	891	3106
223	894	3100
224	899	3097
225	903	3093
226	906	3087
227	909	3081
228	913	3074
229	916	3068
230	920	3062
231	923	3055
232	926	3050
233	931	3047
234	935	3044
235	939	3039
236	941	3032
237	945	3027
238	949	3024
239	953	3019
240	956	3012
241	959	3005
242	963	3002
243	967	2997
244	970	2991
245	974	2986
246	982	2994
247	986	2990
248	989	2985
249	994	2982
250	997	2977
251	1001	2973
252	1005	2967
253	1009	2963
254	1014	2963
255	1017	2957
256	1021	2953
257	1024	2947
258	1034	2959
259	1037	2953
260	1041	2948
261	1046	2947
262	1050	2942
263	1053	2937
264	1056	2931
265	1061	2928
266	1064	2923
267	1068	2918
268	1071	2912
269	1075	2906
270	1079	2904
271	1083	2900
272	1086	2894
273	1090	2890
274	1095	2888
275	1099	2884
276	1102	2878
277	1107	2875
278	1111	2872
279	1114	2866
280	1117	2859
281	1120	2853
282	1124	2848
283	1128	2844
284	1131	2839
285	1135	2835
286	1138	2829
287	1142	2825
288	1146	2821
289	1150	2815
290	1153	2809
