Div,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA
ARG,1213,03/08/2012,23:00,Arsenal Sarandi,Union de Santa Fe,1.0,0.0,H,1.76,3.3,4.74
ARG,1213,04/08/2012,01:10,Velez Sarsfield,Argentinos Jrs,3.0,0.0,H,1.97,3.12,3.96
ARG,1213,04/08/2012,18:10,Racing Club,Atl. Rafaela,1.0,1.0,D,1.91,3.22,4.05
ARG,1213,04/08/2012,20:10,Colon Santa FE,Lanus,1.0,0.0,H,2.39,2.99,3.04
ARG,1213,04/08/2012,22:15,Quilmes,Boca Juniors,3.0,0.0,H,3.07,2.99,2.38
ARG,1213,05/08/2012,00:20,Newells Old Boys,Independiente,0.0,0.0,D,1.92,3.23,4.05
ARG,1213,05/08/2012,19:10,Godoy Cruz,All Boys,1.0,1.0,D,2.18,3.08,3.39
ARG,1213,05/08/2012,21:10,San Lorenzo,San Martin S.J.,2.0,1.0,H,1.89,3.18,4.23
ARG,1213,05/08/2012,23:15,River Plate,Belgrano,1.0,2.0,A,1.88,3.19,4.21
ARG,1213,07/08/2012,00:10,Tigre,Estudiantes L.P.,1.0,2.0,A,2.33,3.04,3.1
ARG,1213,10/08/2012,23:10,San Martin S.J.,Colon Santa FE,0.0,1.0,A,2.84,2.97,2.54
ARG,1213,11/08/2012,01:15,Lanus,Newells Old Boys,0.0,1.0,A,2.25,3.0,3.3
ARG,1213,11/08/2012,18:00,Estudiantes L.P.,River Plate,0.0,2.0,A,2.35,3.0,3.1
ARG,1213,11/08/2012,20:10,All Boys,Quilmes,1.0,1.0,D,2.5,2.95,2.91
ARG,1213,11/08/2012,20:10,Belgrano,San Lorenzo,0.0,0.0,D,2.41,3.0,2.98
ARG,1213,12/08/2012,18:50,Argentinos Jrs,Racing Club,0.0,2.0,A,2.57,2.96,2.81
ARG,1213,12/08/2012,21:10,Union de Santa Fe,Godoy Cruz,0.0,1.0,A,2.36,3.01,3.07
ARG,1213,13/08/2012,00:00,Boca Juniors,Tigre,2.0,0.0,H,1.85,3.21,4.29
ARG,1213,13/08/2012,20:30,Atl. Rafaela,Arsenal Sarandi,0.0,0.0,D,2.77,3.05,2.54
ARG,1213,14/08/2012,00:00,Independiente,Velez Sarsfield,0.0,0.0,D,3.18,3.02,2.26
ARG,1213,18/08/2012,20:10,Boca Juniors,All Boys,3.0,1.0,H,1.73,3.36,4.86
ARG,1213,18/08/2012,22:10,Colon Santa FE,Belgrano,2.0,2.0,D,2.08,3.05,3.61
ARG,1213,19/08/2012,00:20,San Lorenzo,Estudiantes L.P.,0.0,1.0,A,2.38,3.01,3.01
ARG,1213,19/08/2012,15:00,Racing Club,Independiente,2.0,0.0,H,2.27,3.0,3.19
ARG,1213,19/08/2012,19:00,Godoy Cruz,Atl. Rafaela,2.0,0.0,H,2.13,3.08,3.44
ARG,1213,19/08/2012,21:15,Velez Sarsfield,Lanus,0.0,2.0,A,1.97,3.11,3.96
ARG,1213,19/08/2012,23:15,Tigre,River Plate,2.0,3.0,A,2.49,2.97,2.91
ARG,1213,20/08/2012,19:00,Quilmes,Union de Santa Fe,2.0,1.0,H,2.06,3.07,3.66
ARG,1213,20/08/2012,21:10,Arsenal Sarandi,Argentinos Jrs,2.0,2.0,D,1.87,3.16,4.27
ARG,1213,20/08/2012,23:15,Newells Old Boys,San Martin S.J.,2.0,0.0,H,1.72,3.39,4.92
ARG,1213,25/08/2012,20:10,All Boys,Tigre,2.0,2.0,D,2.52,3.0,2.85
ARG,1213,25/08/2012,20:10,Union de Santa Fe,Boca Juniors,1.0,2.0,A,2.52,2.93,2.91
ARG,1213,25/08/2012,22:15,Argentinos Jrs,Godoy Cruz,2.0,1.0,H,2.38,3.03,3.02
ARG,1213,26/08/2012,00:20,Independiente,Arsenal Sarandi,0.0,2.0,A,2.75,2.97,2.62
ARG,1213,26/08/2012,19:00,Atl. Rafaela,Quilmes,1.0,1.0,D,2.61,2.99,2.75
ARG,1213,26/08/2012,19:10,Belgrano,Newells Old Boys,0.0,0.0,D,2.77,2.93,2.64
ARG,1213,26/08/2012,21:10,Lanus,Racing Club,1.0,1.0,D,2.12,3.09,3.56
ARG,1213,26/08/2012,21:15,San Martin S.J.,Velez Sarsfield,0.0,3.0,A,3.27,3.08,2.22
ARG,1213,26/08/2012,23:15,River Plate,San Lorenzo,0.0,0.0,D,1.86,3.26,4.25
ARG,1213,27/08/2012,23:15,Estudiantes L.P.,Colon Santa FE,1.0,2.0,A,2.24,3.02,3.29
ARG,1213,01/09/2012,00:30,All Boys,Union de Santa Fe,3.0,1.0,H,1.9,3.22,4.09
ARG,1213,01/09/2012,20:15,Newells Old Boys,Estudiantes L.P.,1.0,0.0,H,2.1,3.06,3.59
ARG,1213,01/09/2012,23:00,Arsenal Sarandi,Lanus,1.0,0.0,H,2.28,3.03,3.2
ARG,1213,02/09/2012,00:20,Velez Sarsfield,Belgrano,2.0,1.0,H,1.75,3.33,4.76
ARG,1213,02/09/2012,18:10,Tigre,San Lorenzo,1.0,1.0,D,2.29,3.07,3.16
ARG,1213,02/09/2012,20:15,Boca Juniors,Atl. Rafaela,2.0,1.0,H,1.59,3.64,5.63
ARG,1213,02/09/2012,22:15,Godoy Cruz,Independiente,2.0,1.0,H,2.03,3.14,3.73
ARG,1213,03/09/2012,00:15,Colon Santa FE,River Plate,1.0,1.0,D,2.48,3.0,2.89
ARG,1213,03/09/2012,21:10,Quilmes,Argentinos Jrs,0.0,1.0,A,2.07,3.15,3.53
ARG,1213,04/09/2012,00:30,Racing Club,San Martin S.J.,3.0,1.0,H,1.77,3.41,4.69
ARG,1213,08/09/2012,18:00,San Martin S.J.,Arsenal Sarandi,4.0,0.0,H,3.17,3.03,2.3
ARG,1213,08/09/2012,20:10,Atl. Rafaela,All Boys,2.0,1.0,H,2.3,3.05,3.16
ARG,1213,08/09/2012,22:15,Estudiantes L.P.,Velez Sarsfield,0.0,0.0,D,3.11,3.05,2.32
ARG,1213,09/09/2012,00:20,San Lorenzo,Colon Santa FE,2.0,1.0,H,2.44,3.04,2.92
ARG,1213,09/09/2012,20:10,Argentinos Jrs,Boca Juniors,1.0,1.0,D,3.13,3.05,2.31
