Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA
AUT,21/07/2012,15:00,Sturm Graz,Salzburg,0.0,2.0,A,2.96,3.2,2.33
AUT,21/07/2012,17:30,Mattersburg,Neustadt,2.0,0.0,H,1.77,3.51,4.33
AUT,21/07/2012,17:30,SK Rapid,Wacker Innsbruck,4.0,0.0,H,1.45,4.09,7.09
AUT,22/07/2012,15:00,Admira,Ried,0.0,2.0,A,2.12,3.29,3.32
AUT,25/07/2012,17:30,Wolfsberger AC,Austria Vienna,0.0,1.0,A,3.53,3.28,2.0
AUT,28/07/2012,17:30,Austria Vienna,Sturm Graz,0.0,1.0,A,1.99,3.29,3.67
AUT,28/07/2012,17:30,Neustadt,SK Rapid,0.0,1.0,A,5.8,3.71,1.57
AUT,28/07/2012,17:30,Salzburg,Mattersburg,3.0,2.0,H,1.36,4.52,8.39
AUT,29/07/2012,15:00,Wacker Innsbruck,Admira,1.0,2.0,A,2.22,3.27,3.09
AUT,29/07/2012,17:30,Ried,Wolfsberger AC,0.0,2.0,A,1.53,3.8,6.16
AUT,04/08/2012,17:30,Wolfsberger AC,Salzburg,0.0,2.0,A,4.92,3.63,1.66
AUT,04/08/2012,17:30,Mattersburg,Sturm Graz,3.0,1.0,H,2.52,3.18,2.71
AUT,05/08/2012,15:00,SK Rapid,Austria Vienna,0.0,3.0,A,1.88,3.3,4.11
AUT,05/08/2012,15:00,Ried,Wacker Innsbruck,2.0,0.0,H,1.8,3.41,4.33
AUT,05/08/2012,17:30,Admira,Neustadt,4.0,0.0,H,1.52,3.87,6.18
AUT,11/08/2012,17:30,Sturm Graz,Wolfsberger AC,4.0,1.0,H,1.56,3.79,5.68
AUT,11/08/2012,17:30,Wacker Innsbruck,Mattersburg,2.0,1.0,H,2.22,3.2,3.15
AUT,12/08/2012,15:00,Neustadt,Ried,2.0,3.0,A,3.37,3.2,2.14
AUT,12/08/2012,15:00,Salzburg,SK Rapid,0.0,2.0,A,1.82,3.4,4.33
AUT,12/08/2012,17:30,Austria Vienna,Admira,1.0,0.0,H,1.71,3.57,4.69
AUT,18/08/2012,17:30,Wolfsberger AC,Mattersburg,0.0,1.0,A,2.52,3.25,2.68
AUT,18/08/2012,17:30,Admira,Salzburg,4.0,4.0,D,3.13,3.3,2.21
AUT,18/08/2012,17:30,SK Rapid,Sturm Graz,3.0,0.0,H,1.7,3.56,4.88
AUT,18/08/2012,17:30,Wacker Innsbruck,Neustadt,2.0,3.0,A,1.58,3.7,5.92
AUT,19/08/2012,15:00,Ried,Austria Vienna,0.0,1.0,A,2.5,3.17,2.75
AUT,25/08/2012,17:30,Austria Vienna,Wacker Innsbruck,2.0,0.0,H,1.49,3.98,6.55
AUT,25/08/2012,17:30,Mattersburg,Ried,2.0,1.0,H,2.39,3.21,2.88
AUT,25/08/2012,17:30,Salzburg,Neustadt,1.0,1.0,D,1.2,6.3,12.49
AUT,25/08/2012,17:30,Sturm Graz,Admira,3.0,2.0,H,1.98,3.38,3.63
AUT,26/08/2012,15:00,Wolfsberger AC,SK Rapid,1.0,0.0,H,4.97,3.56,1.69
AUT,01/09/2012,17:30,Admira,Wolfsberger AC,1.0,1.0,D,1.57,4.0,5.29
AUT,01/09/2012,17:30,Neustadt,Austria Vienna,0.0,2.0,A,4.62,3.51,1.74
AUT,01/09/2012,17:30,Ried,Sturm Graz,0.0,1.0,A,2.34,3.17,3.0
AUT,01/09/2012,17:30,Wacker Innsbruck,Salzburg,0.0,4.0,A,3.7,3.35,1.96
AUT,02/09/2012,15:00,SK Rapid,Mattersburg,3.0,0.0,H,1.52,3.99,6.01
AUT,15/09/2012,15:00,Wolfsberger AC,Neustadt,6.0,0.0,H,1.8,3.48,4.31
AUT,15/09/2012,17:30,SK Rapid,Admira,0.0,0.0,D,1.47,4.27,6.32
AUT,15/09/2012,17:30,Salzburg,Ried,1.0,1.0,D,1.52,3.95,6.08
AUT,15/09/2012,17:30,Sturm Graz,Wacker Innsbruck,3.0,0.0,H,1.48,4.04,6.71
AUT,16/09/2012,15:00,Mattersburg,Austria Vienna,2.0,4.0,A,3.25,3.27,2.15
AUT,22/09/2012,15:00,Admira,Mattersburg,5.0,1.0,H,1.93,3.44,3.74
AUT,22/09/2012,17:30,Austria Vienna,Salzburg,0.0,1.0,A,2.37,3.3,2.85
AUT,22/09/2012,17:30,Neustadt,Sturm Graz,1.0,1.0,D,4.66,3.55,1.72
AUT,22/09/2012,17:30,Wacker Innsbruck,Wolfsberger AC,0.0,1.0,A,2.25,3.31,3.03
AUT,23/09/2012,15:30,Ried,SK Rapid,0.0,2.0,A,2.9,3.21,2.35
AUT,29/09/2012,15:00,Austria Vienna,Wolfsberger AC,1.0,1.0,D,1.41,4.3,7.06
AUT,29/09/2012,17:30,Neustadt,Mattersburg,0.0,0.0,D,2.97,3.26,2.29
AUT,29/09/2012,17:30,Ried,Admira,1.0,1.0,D,2.08,3.34,3.33
AUT,29/09/2012,17:30,Wacker Innsbruck,SK Rapid,0.0,2.0,A,3.81,3.38,1.93
AUT,30/09/2012,15:00,Salzburg,Sturm Graz,3.0,2.0,H,1.58,3.88,5.42
AUT,06/10/2012,15:00,Wolfsberger AC,Ried,2.0,5.0,A,2.23,3.31,3.07
AUT,06/10/2012,17:30,Admira,Wacker Innsbruck,4.0,1.0,H,1.52,4.08,5.95
AUT,06/10/2012,17:30,Mattersburg,Salzburg,1.0,3.0,A,4.32,3.58,1.77
AUT,07/10/2012,15:00,Sturm Graz,Austria Vienna,1.0,1.0,D,2.34,3.24,2.94
AUT,07/10/2012,17:30,SK Rapid,Neustadt,1.0,1.0,D,1.25,5.62,10.71
AUT,20/10/2012,15:00,Salzburg,Wolfsberger AC,4.0,1.0,H,1.29,5.22,9.52
AUT,20/10/2012,17:30,Neustadt,Admira,2.0,1.0,H,3.65,3.39,1.98
AUT,20/10/2012,17:30,Sturm Graz,Mattersburg,0.0,0.0,D,1.56,3.91,5.62
AUT,20/10/2012,17:30,Wacker Innsbruck,Ried,1.0,0.0,H,3.02,3.23,2.3
AUT,21/10/2012,15:00,Austria Vienna,SK Rapid,2.0,0.0,H,2.32,3.16,3.07
AUT,27/10/2012,15:00,Ried,Neustadt,3.0,1.0,H,1.55,3.82,6.0
AUT,27/10/2012,17:30,Admira,Austria Vienna,4.0,6.0,A,2.95,3.31,2.31
AUT,27/10/2012,17:30,Mattersburg,Wacker Innsbruck,1.0,2.0,A,1.86,3.42,4.11
AUT,28/10/2012,15:00,SK Rapid,Salzburg,2.0,0.0,H,2.98,3.27,2.31
AUT,03/11/2012,15:00,Neustadt,Wacker Innsbruck,0.0,1.0,A,2.45,3.15,2.89
AUT,03/11/2012,17:30,Mattersburg,Wolfsberger AC,1.0,1.0,D,2.05,3.35,3.49
AUT,03/11/2012,17:30,Salzburg,Admira,5.0,0.0,H,1.42,4.54,6.78
AUT,03/11/2012,17:30,Sturm Graz,SK Rapid,2.0,1.0,H,2.34,3.23,2.97
AUT,04/11/2012,15:00,Austria Vienna,Ried,6.0,1.0,H,1.54,4.01,5.78
AUT,10/11/2012,15:00,Admira,Sturm Graz,1.0,2.0,A,2.43,3.34,2.75
AUT,10/11/2012,17:30,Ried,Mattersburg,6.0,1.0,H,1.74,3.58,4.54
AUT,10/11/2012,17:30,Wacker Innsbruck,Austria Vienna,0.0,3.0,A,4.33,3.44,1.81
AUT,11/11/2012,15:00,Neustadt,Salzburg,0.0,3.0,A,7.33,4.43,1.41
AUT,11/11/2012,17:30,SK Rapid,Wolfsberger AC,0.0,2.0,A,1.41,4.5,7.08
AUT,17/11/2012,15:00,Austria Vienna,Neustadt,3.0,0.0,H,1.24,5.78,10.66
AUT,17/11/2012,17:30,Wolfsberger AC,Admira,1.0,1.0,D,2.42,3.3,2.78
AUT,17/11/2012,17:30,Mattersburg,SK Rapid,0.0,3.0,A,3.52,3.25,2.07
AUT,17/11/2012,17:30,Sturm Graz,Ried,3.0,1.0,H,1.8,3.48,4.29
AUT,18/11/2012,15:00,Salzburg,Wacker Innsbruck,2.0,0.0,H,1.2,6.35,12.62
AUT,24/11/2012,15:00,Wacker Innsbruck,Sturm Graz,0.0,3.0,A,3.32,3.26,2.15
AUT,24/11/2012,17:30,Austria Vienna,Mattersburg,3.0,1.0,H,1.24,5.75,10.92
AUT,24/11/2012,17:30,Neustadt,Wolfsberger AC,2.0,1.0,H,2.83,3.24,2.43
AUT,24/11/2012,17:30,Ried,Salzburg,3.0,1.0,H,4.66,3.6,1.72
AUT,25/11/2012,14:00,Admira,SK Rapid,0.0,2.0,A,2.75,3.34,2.43
AUT,27/11/2012,18:30,Wolfsberger AC,Sturm Graz,1.0,1.0,D,3.36,3.3,2.1
AUT,01/12/2012,15:00,Wolfsberger AC,Wacker Innsbruck,2.0,2.0,D,2.0,3.29,3.7
AUT,01/12/2012,17:30,Mattersburg,Admira,3.0,0.0,H,3.02,3.29,2.28
AUT,01/12/2012,17:30,SK Rapid,Ried,4.0,3.0,H,1.67,3.69,4.92
AUT,01/12/2012,17:30,Sturm Graz,Neustadt,3.0,1.0,H,1.49,4.18,6.11
