Div,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA
CHN,2014,07/03/2014,11:00,Shandong Luneng,Zhejiang Yiteng,1.0,0.0,H,1.21,5.72,9.77
CHN,2014,08/03/2014,08:30,Guangzhou Evergrande,Henan Songshan Longmen,3.0,0.0,H,1.14,6.64,15.35
CHN,2014,08/03/2014,11:30,Beijing Guoan,Changchun Yatai,1.0,0.0,H,1.39,4.27,7.18
CHN,2014,08/03/2014,11:35,Hangzhou Greentown,Dalian Yifang F.C.,1.0,1.0,D,2.7,3.1,2.48
CHN,2014,08/03/2014,11:35,Jiangsu Suning,Beijing Renhe,0.0,0.0,D,2.01,3.23,3.48
CHN,2014,09/03/2014,06:00,Liaoning,Shanghai SIPG,1.0,1.0,D,2.15,3.14,3.19
CHN,2014,09/03/2014,08:00,Shanghai Shenxin,Shanghai Shenhua,0.0,2.0,A,2.48,3.0,2.74
CHN,2014,09/03/2014,11:35,Tianjin Jinmen Tiger,Guangzhou R&F,1.0,1.0,D,2.57,3.09,2.63
CHN,2014,15/03/2014,07:30,Dalian Yifang F.C.,Beijing Guoan,0.0,1.0,A,2.8,3.08,2.42
CHN,2014,15/03/2014,11:45,Shanghai Shenhua,Hangzhou Greentown,1.0,3.0,A,1.62,3.47,5.05
CHN,2014,15/03/2014,12:00,Beijing Renhe,Tianjin Jinmen Tiger,2.0,0.0,H,2.66,2.91,2.68
CHN,2014,15/03/2014,12:00,Guangzhou Evergrande,Zhejiang Yiteng,4.0,1.0,H,1.11,8.14,14.52
CHN,2014,16/03/2014,07:30,Changchun Yatai,Henan Songshan Longmen,0.0,0.0,D,2.11,3.05,3.42
CHN,2014,16/03/2014,08:00,Guangzhou R&F,Liaoning,0.0,0.0,D,1.32,4.78,8.2
CHN,2014,16/03/2014,08:00,Shanghai SIPG,Shanghai Shenxin,5.0,1.0,H,1.78,3.27,4.36
CHN,2014,22/03/2014,08:00,Shanghai Shenxin,Guangzhou R&F,1.0,3.0,A,4.61,3.61,1.68
CHN,2014,22/03/2014,11:30,Henan Songshan Longmen,Dalian Yifang F.C.,2.0,2.0,D,2.78,2.98,2.5
CHN,2014,22/03/2014,11:35,Hangzhou Greentown,Shanghai SIPG,1.0,2.0,A,3.06,3.08,2.27
CHN,2014,22/03/2014,11:35,Jiangsu Suning,Zhejiang Yiteng,2.0,1.0,H,1.41,3.99,7.75
CHN,2014,23/03/2014,06:00,Liaoning,Beijing Renhe,1.0,2.0,A,3.48,3.14,2.06
CHN,2014,23/03/2014,11:35,Tianjin Jinmen Tiger,Shandong Luneng,1.0,1.0,D,5.31,3.58,1.6
CHN,2014,23/03/2014,12:00,Guangzhou Evergrande,Changchun Yatai,1.0,3.0,A,1.11,7.25,18.43
CHN,2014,24/03/2014,11:30,Beijing Guoan,Shanghai Shenhua,2.0,0.0,H,1.36,4.47,7.26
CHN,2014,28/03/2014,11:30,Shandong Luneng,Liaoning,1.0,0.0,H,1.25,5.29,9.73
CHN,2014,28/03/2014,11:35,Jiangsu Suning,Guangzhou Evergrande,0.0,2.0,A,6.4,4.41,1.41
CHN,2014,28/03/2014,11:45,Shanghai SIPG,Beijing Guoan,1.0,0.0,H,3.67,3.38,1.89
CHN,2014,28/03/2014,12:00,Beijing Renhe,Shanghai Shenxin,0.0,1.0,A,1.38,4.32,7.26
CHN,2014,29/03/2014,07:30,Dalian Yifang F.C.,Changchun Yatai,2.0,1.0,H,2.19,3.11,3.17
CHN,2014,29/03/2014,11:45,Shanghai Shenhua,Henan Songshan Longmen,0.0,0.0,D,1.74,3.38,4.45
CHN,2014,30/03/2014,09:00,Guangzhou R&F,Hangzhou Greentown,6.0,2.0,H,1.45,4.15,6.31
CHN,2014,30/03/2014,12:35,Tianjin Jinmen Tiger,Zhejiang Yiteng,3.0,0.0,H,1.56,3.74,5.51
CHN,2014,05/04/2014,07:30,Liaoning,Zhejiang Yiteng,3.0,0.0,H,1.77,3.37,4.3
CHN,2014,05/04/2014,12:30,Henan Songshan Longmen,Shanghai SIPG,1.0,0.0,H,2.95,3.03,2.35
CHN,2014,05/04/2014,12:35,Jiangsu Suning,Tianjin Jinmen Tiger,4.0,0.0,H,1.99,3.19,3.6
CHN,2014,06/04/2014,08:30,Changchun Yatai,Shanghai Shenhua,2.0,2.0,D,2.0,3.23,3.44
CHN,2014,06/04/2014,10:30,Shanghai Shenxin,Shandong Luneng,0.0,1.0,A,6.01,3.9,1.5
CHN,2014,06/04/2014,12:35,Hangzhou Greentown,Beijing Renhe,2.0,1.0,H,2.99,3.2,2.24
CHN,2014,06/04/2014,13:00,Guangzhou Evergrande,Dalian Yifang F.C.,4.0,2.0,H,1.17,6.6,11.78
CHN,2014,07/04/2014,12:30,Beijing Guoan,Guangzhou R&F,2.0,0.0,H,1.68,3.71,4.4
CHN,2014,09/04/2014,12:35,Jiangsu Suning,Shandong Luneng,1.0,0.0,H,3.08,3.1,2.24
CHN,2014,11/04/2014,12:35,Tianjin Jinmen Tiger,Guangzhou Evergrande,2.0,5.0,A,8.41,4.93,1.3
CHN,2014,11/04/2014,13:00,Beijing Renhe,Beijing Guoan,1.0,2.0,A,2.95,2.96,2.4
CHN,2014,12/04/2014,09:00,Shanghai SIPG,Changchun Yatai,1.0,0.0,H,1.6,3.73,5.04
CHN,2014,12/04/2014,12:30,Shandong Luneng,Hangzhou Greentown,2.0,0.0,H,1.33,4.75,7.37
CHN,2014,13/04/2014,09:00,Guangzhou R&F,Henan Songshan Longmen,4.0,0.0,H,1.36,4.51,7.64
CHN,2014,13/04/2014,09:00,Shanghai Shenxin,Zhejiang Yiteng,1.0,0.0,H,1.61,3.49,5.25
CHN,2014,13/04/2014,12:35,Jiangsu Suning,Liaoning,1.0,1.0,D,1.41,3.97,7.37
CHN,2014,13/04/2014,12:45,Shanghai Shenhua,Dalian Yifang F.C.,2.0,0.0,H,2.16,3.16,3.13
CHN,2014,18/04/2014,12:30,Henan Songshan Longmen,Beijing Renhe,1.0,2.0,A,2.85,3.0,2.44
CHN,2014,19/04/2014,12:30,Beijing Guoan,Shandong Luneng,0.0,3.0,A,1.7,3.47,4.62
CHN,2014,19/04/2014,13:00,Guangzhou Evergrande,Shanghai Shenhua,2.0,1.0,H,1.32,4.95,7.48
CHN,2014,20/04/2014,07:30,Liaoning,Tianjin Jinmen Tiger,0.0,2.0,A,2.2,3.15,3.13
CHN,2014,20/04/2014,08:30,Changchun Yatai,Guangzhou R&F,2.0,3.0,A,3.32,3.36,2.02
CHN,2014,20/04/2014,08:30,Dalian Yifang F.C.,Shanghai SIPG,1.0,1.0,D,2.58,3.06,2.62
CHN,2014,20/04/2014,10:30,Shanghai Shenxin,Jiangsu Suning,1.0,1.0,D,3.56,3.17,2.02
CHN,2014,20/04/2014,12:35,Hangzhou Greentown,Zhejiang Yiteng,2.0,1.0,H,1.56,3.75,5.4
CHN,2014,26/04/2014,08:30,Shanghai SIPG,Shanghai Shenhua,1.0,1.0,D,2.22,3.18,2.98
CHN,2014,26/04/2014,08:35,Liaoning,Guangzhou Evergrande,0.0,4.0,A,10.57,5.91,1.21
CHN,2014,26/04/2014,09:00,Changchun Yatai,Beijing Renhe,0.0,0.0,D,2.71,3.14,2.46
CHN,2014,26/04/2014,12:30,Guangzhou R&F,Dalian Yifang F.C.,3.0,0.0,H,1.38,4.59,6.58
CHN,2014,26/04/2014,12:35,Jiangsu Suning,Hangzhou Greentown,2.0,2.0,D,1.51,3.78,6.08
CHN,2014,26/04/2014,12:35,Tianjin Jinmen Tiger,Shanghai Shenxin,0.0,0.0,D,1.59,3.54,5.46
CHN,2014,27/04/2014,09:00,Zhejiang Yiteng,Beijing Guoan,0.0,1.0,A,8.25,4.46,1.34
CHN,2014,27/04/2014,12:30,Shandong Luneng,Henan Songshan Longmen,2.0,1.0,H,1.21,5.49,11.77
CHN,2014,29/04/2014,12:45,Shanghai Shenhua,Guangzhou R&F,0.0,0.0,D,2.91,3.28,2.23
