Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA
DNK,13/07/2012,17:30,Aarhus,Aalborg,1.0,1.0,D,2.18,3.25,3.26
DNK,14/07/2012,16:00,Sonderjyske,Randers FC,6.0,1.0,H,2.4,3.21,2.89
DNK,15/07/2012,13:00,Esbjerg,Silkeborg,2.0,3.0,A,2.26,3.32,3.02
DNK,15/07/2012,16:00,Brondby,Odense,0.0,1.0,A,2.49,3.27,2.71
DNK,15/07/2012,18:00,FC Copenhagen,Midtjylland,4.0,2.0,H,1.8,3.37,4.51
DNK,16/07/2012,18:00,Horsens,Nordsjaelland,0.0,4.0,A,2.56,3.22,2.67
DNK,20/07/2012,17:30,Silkeborg,Horsens,0.0,2.0,A,2.23,3.39,3.01
DNK,21/07/2012,16:00,Midtjylland,Nordsjaelland,3.0,1.0,H,2.3,3.3,2.93
DNK,22/07/2012,13:00,Odense,Randers FC,0.0,1.0,A,1.75,3.63,4.49
DNK,22/07/2012,16:00,Sonderjyske,FC Copenhagen,1.0,1.0,D,3.86,3.52,1.89
DNK,22/07/2012,18:00,Aalborg,Brondby,2.0,1.0,H,2.33,3.22,2.99
DNK,23/07/2012,18:00,Aarhus,Esbjerg,0.0,0.0,D,2.54,3.19,2.74
DNK,27/07/2012,17:30,Horsens,Midtjylland,2.0,2.0,D,2.51,3.32,2.64
DNK,28/07/2012,14:00,FC Copenhagen,Aalborg,3.0,0.0,H,1.67,3.56,5.16
DNK,28/07/2012,16:00,Esbjerg,Sonderjyske,1.0,2.0,A,2.37,3.31,2.87
DNK,29/07/2012,16:00,Randers FC,Aarhus,2.0,1.0,H,2.6,3.2,2.63
DNK,29/07/2012,18:00,Nordsjaelland,Odense,1.0,1.0,D,1.99,3.26,3.74
DNK,30/07/2012,18:00,Brondby,Silkeborg,2.0,1.0,H,2.23,3.3,3.07
DNK,03/08/2012,17:30,Silkeborg,Odense,0.0,1.0,A,2.61,3.32,2.56
DNK,04/08/2012,16:00,Aalborg,Nordsjaelland,1.0,1.0,D,2.92,3.2,2.39
DNK,04/08/2012,18:00,Esbjerg,FC Copenhagen,1.0,2.0,A,3.88,3.37,1.93
DNK,05/08/2012,16:00,Midtjylland,Randers FC,2.0,1.0,H,1.61,3.77,5.33
DNK,05/08/2012,18:00,Aarhus,Brondby,3.0,1.0,H,2.6,3.17,2.66
DNK,06/08/2012,18:00,Sonderjyske,Horsens,0.0,2.0,A,2.46,3.31,2.75
DNK,10/08/2012,17:30,Odense,Midtjylland,2.0,1.0,H,2.58,3.28,2.6
DNK,11/08/2012,16:00,Nordsjaelland,Silkeborg,6.0,1.0,H,1.63,3.76,5.17
DNK,12/08/2012,14:00,Horsens,Aalborg,1.0,4.0,A,2.14,3.3,3.3
