Div,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA
FIN,2012,15/04/2012,16:30,HJK,Mariehamn,3.0,1.0,H,1.35,4.47,8.46
FIN,2012,15/04/2012,16:30,Honka,VPS,1.0,1.0,D,1.8,3.38,4.4
FIN,2012,15/04/2012,16:30,KuPS,JJK Jyvaskyla,2.0,2.0,D,2.35,3.26,2.87
FIN,2012,15/04/2012,16:30,Lahti,Haka,1.0,0.0,H,2.37,3.16,2.92
FIN,2012,15/04/2012,16:30,TPS,MyPa,0.0,1.0,A,1.54,3.75,6.18
FIN,2012,18/04/2012,16:30,Lahti,Honka,2.0,1.0,H,3.26,3.28,2.15
FIN,2012,19/04/2012,16:30,JJK Jyvaskyla,Haka,1.0,4.0,A,1.78,3.49,4.41
FIN,2012,19/04/2012,16:30,Mariehamn,KuPS,1.0,1.0,D,2.15,3.33,3.2
FIN,2012,19/04/2012,16:30,MyPa,Jaro,2.0,0.0,H,2.23,3.3,3.04
FIN,2012,19/04/2012,16:30,TPS,HJK,3.0,1.0,H,3.48,3.36,2.03
FIN,2012,19/04/2012,16:30,VPS,Inter Turku,0.0,2.0,A,3.0,3.24,2.29
FIN,2012,22/04/2012,16:30,Haka,Mariehamn,0.0,2.0,A,2.33,3.19,2.96
FIN,2012,22/04/2012,16:30,Honka,JJK Jyvaskyla,0.0,2.0,A,1.84,3.57,3.95
FIN,2012,22/04/2012,16:30,Inter Turku,MyPa,2.0,0.0,H,1.49,3.98,6.38
FIN,2012,22/04/2012,16:30,KuPS,TPS,1.0,1.0,D,2.73,3.22,2.47
FIN,2012,22/04/2012,16:30,VPS,Lahti,2.0,1.0,H,2.24,3.11,3.24
FIN,2012,23/04/2012,16:30,HJK,Jaro,4.0,1.0,H,1.29,5.04,9.9
FIN,2012,29/04/2012,16:30,Jaro,KuPS,1.0,0.0,H,2.43,3.24,2.79
FIN,2012,29/04/2012,16:30,Lahti,Inter Turku,0.0,5.0,A,3.88,3.35,1.91
FIN,2012,29/04/2012,16:30,Mariehamn,Honka,0.0,0.0,D,2.35,3.29,2.88
FIN,2012,29/04/2012,16:30,MyPa,HJK,1.0,0.0,H,5.06,3.59,1.67
FIN,2012,29/04/2012,16:30,TPS,Haka,2.0,0.0,H,1.67,3.64,5.0
FIN,2012,30/04/2012,16:30,JJK Jyvaskyla,VPS,0.0,2.0,A,1.86,3.48,3.97
FIN,2012,02/05/2012,16:30,Jaro,Inter Turku,0.0,1.0,A,4.02,3.52,1.84
FIN,2012,02/05/2012,16:30,KuPS,HJK,0.0,3.0,A,4.01,3.52,1.82
FIN,2012,05/05/2012,16:30,Haka,Jaro,4.0,1.0,H,2.46,3.21,2.79
FIN,2012,05/05/2012,16:30,Honka,TPS,0.0,2.0,A,2.43,3.2,2.81
FIN,2012,05/05/2012,16:30,JJK Jyvaskyla,Lahti,2.0,1.0,H,1.64,3.71,4.98
FIN,2012,05/05/2012,16:30,KuPS,MyPa,1.0,2.0,A,2.04,3.27,3.52
FIN,2012,05/05/2012,16:30,VPS,Mariehamn,1.0,2.0,A,2.17,3.2,3.25
FIN,2012,06/05/2012,12:00,HJK,Inter Turku,2.0,1.0,H,1.86,3.42,3.92
FIN,2012,12/05/2012,16:30,HJK,KuPS,2.0,0.0,H,1.27,5.24,10.54
FIN,2012,12/05/2012,16:30,Inter Turku,JJK Jyvaskyla,2.0,1.0,H,1.58,3.91,5.3
FIN,2012,12/05/2012,16:30,Jaro,Honka,0.0,1.0,A,2.77,3.25,2.44
FIN,2012,12/05/2012,16:30,MyPa,Haka,3.0,1.0,H,2.08,3.24,3.44
FIN,2012,13/05/2012,12:00,TPS,VPS,1.0,0.0,H,1.66,3.61,5.11
FIN,2012,13/05/2012,14:00,Mariehamn,Lahti,2.0,0.0,H,1.72,3.52,4.65
FIN,2012,16/05/2012,16:30,Haka,HJK,0.0,1.0,A,5.79,3.94,1.53
FIN,2012,16/05/2012,16:30,Honka,MyPa,2.0,1.0,H,1.84,3.44,4.06
FIN,2012,16/05/2012,16:30,Inter Turku,KuPS,2.0,1.0,H,1.4,4.34,7.45
FIN,2012,16/05/2012,16:30,JJK Jyvaskyla,Mariehamn,5.0,2.0,H,1.94,3.42,3.67
FIN,2012,16/05/2012,16:30,Lahti,TPS,2.0,0.0,H,4.29,3.44,1.79
FIN,2012,16/05/2012,16:30,VPS,Jaro,1.0,1.0,D,2.24,3.21,3.12
FIN,2012,21/05/2012,16:30,HJK,Honka,3.0,0.0,H,1.49,4.0,6.39
FIN,2012,21/05/2012,16:30,Jaro,Lahti,0.0,2.0,A,2.2,3.27,3.14
FIN,2012,21/05/2012,16:30,KuPS,Haka,3.0,0.0,H,2.04,3.33,3.45
FIN,2012,21/05/2012,16:30,Mariehamn,Inter Turku,2.0,1.0,H,3.72,3.44,1.93
FIN,2012,21/05/2012,16:30,MyPa,VPS,1.0,0.0,H,1.94,3.41,3.71
FIN,2012,21/05/2012,16:30,TPS,JJK Jyvaskyla,2.0,3.0,A,1.91,3.5,3.7
FIN,2012,24/05/2012,16:30,Honka,KuPS,1.0,0.0,H,1.75,3.63,4.32
FIN,2012,24/05/2012,16:30,Inter Turku,Haka,4.0,1.0,H,1.33,4.81,8.49
FIN,2012,24/05/2012,16:30,JJK Jyvaskyla,Jaro,1.0,1.0,D,1.69,3.75,4.65
FIN,2012,24/05/2012,16:30,Lahti,MyPa,0.0,0.0,D,2.74,3.22,2.49
FIN,2012,24/05/2012,16:30,Mariehamn,TPS,2.0,1.0,H,2.69,3.26,2.5
FIN,2012,24/05/2012,16:30,VPS,HJK,1.0,0.0,H,6.91,3.98,1.47
FIN,2012,27/05/2012,14:00,HJK,Lahti,2.0,0.0,H,1.21,6.08,12.03
FIN,2012,27/05/2012,16:30,Haka,Honka,2.0,1.0,H,3.62,3.35,1.99
FIN,2012,27/05/2012,16:30,Jaro,Mariehamn,0.0,3.0,A,3.0,3.21,2.3
FIN,2012,27/05/2012,16:30,KuPS,VPS,0.0,3.0,A,2.06,3.3,3.45
FIN,2012,27/05/2012,16:30,MyPa,JJK Jyvaskyla,0.0,1.0,A,2.32,3.3,2.9
FIN,2012,30/05/2012,16:30,Inter Turku,Lahti,2.0,0.0,H,1.27,5.28,9.86
FIN,2012,11/06/2012,16:30,JJK Jyvaskyla,KuPS,1.0,5.0,A,1.82,3.57,4.02
FIN,2012,16/06/2012,16:30,Haka,VPS,0.0,1.0,A,2.8,3.17,2.47
FIN,2012,16/06/2012,16:30,Honka,Inter Turku,2.0,1.0,H,2.97,3.34,2.27
FIN,2012,16/06/2012,16:30,JJK Jyvaskyla,HJK,0.0,3.0,A,4.29,3.71,1.74
FIN,2012,16/06/2012,16:30,TPS,Jaro,2.0,3.0,A,1.48,4.07,6.37
FIN,2012,17/06/2012,16:30,KuPS,Lahti,1.0,2.0,A,1.68,3.7,4.72
FIN,2012,17/06/2012,16:30,Mariehamn,MyPa,0.0,0.0,D,1.89,3.4,3.9
FIN,2012,19/06/2012,16:30,Inter Turku,Jaro,1.0,1.0,D,1.29,5.13,9.69
FIN,2012,20/06/2012,16:30,Lahti,Haka,0.0,1.0,A,2.15,3.31,3.21
FIN,2012,20/06/2012,16:30,Mariehamn,HJK,2.0,0.0,H,4.5,3.58,1.73
FIN,2012,20/06/2012,16:30,TPS,MyPa,1.0,0.0,H,1.98,3.36,3.66
FIN,2012,20/06/2012,16:30,VPS,Honka,2.0,0.0,H,2.62,3.23,2.58
FIN,2012,25/06/2012,16:30,Haka,JJK Jyvaskyla,3.0,1.0,H,2.8,3.32,2.39
FIN,2012,25/06/2012,16:30,HJK,TPS,0.0,0.0,D,1.39,4.44,7.42
FIN,2012,25/06/2012,16:30,Honka,Lahti,3.0,2.0,H,1.59,3.78,5.44
FIN,2012,25/06/2012,16:30,Inter Turku,VPS,1.0,1.0,D,1.62,3.76,5.09
FIN,2012,25/06/2012,16:30,Jaro,MyPa,1.0,0.0,H,2.6,3.24,2.59
FIN,2012,25/06/2012,16:30,KuPS,Mariehamn,2.0,0.0,H,2.12,3.39,3.2
FIN,2012,28/06/2012,16:30,Jaro,HJK,2.0,2.0,D,6.19,3.97,1.5
FIN,2012,28/06/2012,16:30,JJK Jyvaskyla,Honka,0.0,1.0,A,2.37,3.29,2.83
FIN,2012,28/06/2012,16:30,Lahti,VPS,1.0,0.0,H,2.76,3.21,2.46
FIN,2012,28/06/2012,16:30,Mariehamn,Haka,1.0,0.0,H,1.78,3.51,4.34
FIN,2012,28/06/2012,16:30,MyPa,Inter Turku,4.0,0.0,H,3.55,3.33,2.01
FIN,2012,28/06/2012,16:30,TPS,KuPS,3.0,0.0,H,1.9,3.43,3.84
FIN,2012,02/07/2012,16:30,Haka,TPS,1.0,0.0,H,3.0,3.33,2.25
FIN,2012,02/07/2012,16:30,HJK,MyPa,1.0,1.0,D,1.31,4.82,9.47
FIN,2012,02/07/2012,16:30,KuPS,Jaro,1.0,0.0,H,1.87,3.49,3.92
FIN,2012,02/07/2012,16:30,Lahti,Inter Turku,4.0,3.0,H,3.64,3.46,1.95
FIN,2012,02/07/2012,16:30,VPS,JJK Jyvaskyla,2.0,0.0,H,1.98,3.39,3.65
FIN,2012,03/07/2012,16:30,Honka,Mariehamn,2.0,2.0,D,2.0,3.39,3.55
FIN,2012,07/07/2012,16:30,Inter Turku,HJK,2.0,0.0,H,2.91,3.29,2.33
FIN,2012,07/07/2012,16:30,Jaro,Haka,1.0,0.0,H,2.19,3.25,3.18
FIN,2012,07/07/2012,16:30,Mariehamn,VPS,0.0,0.0,D,2.07,3.23,3.49
FIN,2012,08/07/2012,16:30,JJK Jyvaskyla,Lahti,3.0,1.0,H,2.1,3.37,3.3
FIN,2012,08/07/2012,16:30,MyPa,KuPS,1.0,1.0,D,2.15,3.23,3.32
FIN,2012,09/07/2012,16:30,TPS,Honka,2.0,1.0,H,2.13,3.34,3.26
FIN,2012,14/07/2012,16:30,VPS,TPS,1.0,3.0,A,2.71,3.15,2.55
FIN,2012,15/07/2012,16:30,Haka,MyPa,3.0,1.0,H,2.52,3.12,2.78
FIN,2012,15/07/2012,16:30,Honka,Jaro,2.0,0.0,H,1.64,3.73,5.04
FIN,2012,15/07/2012,16:30,Inter Turku,JJK Jyvaskyla,3.0,2.0,H,1.43,4.41,6.8
FIN,2012,16/07/2012,16:30,Lahti,Mariehamn,2.0,0.0,H,2.57,3.23,2.61
FIN,2012,21/07/2012,14:00,Jaro,VPS,0.0,0.0,D,2.39,3.18,2.9
FIN,2012,21/07/2012,16:30,HJK,Haka,1.0,0.0,H,1.24,5.56,11.58
FIN,2012,22/07/2012,14:00,Mariehamn,JJK Jyvaskyla,3.0,3.0,D,1.67,3.77,4.72
FIN,2012,22/07/2012,16:30,KuPS,Inter Turku,0.0,6.0,A,3.02,3.29,2.26
FIN,2012,22/07/2012,16:30,MyPa,Honka,0.0,0.0,D,2.85,3.23,2.39
FIN,2012,22/07/2012,16:30,TPS,Lahti,4.0,0.0,H,1.56,3.85,5.67
FIN,2012,28/07/2012,16:30,Honka,HJK,1.0,0.0,H,3.45,3.32,2.06
FIN,2012,29/07/2012,16:30,Haka,KuPS,0.0,2.0,A,2.19,3.33,3.13
FIN,2012,29/07/2012,16:30,JJK Jyvaskyla,TPS,2.0,1.0,H,3.25,3.42,2.09
FIN,2012,29/07/2012,16:30,Lahti,Jaro,0.0,2.0,A,2.23,3.25,3.11
FIN,2012,29/07/2012,16:30,VPS,MyPa,2.0,0.0,H,2.22,3.17,3.19
FIN,2012,30/07/2012,16:30,Inter Turku,Mariehamn,0.0,3.0,A,1.63,3.77,5.01
FIN,2012,04/08/2012,16:30,HJK,VPS,3.0,3.0,D,1.47,3.98,6.95
FIN,2012,04/08/2012,16:30,MyPa,Lahti,3.0,1.0,H,1.93,3.4,3.76
FIN,2012,05/08/2012,16:30,Haka,Inter Turku,0.0,2.0,A,3.38,3.36,2.07
FIN,2012,05/08/2012,16:30,Jaro,JJK Jyvaskyla,0.0,3.0,A,2.49,3.32,2.67
FIN,2012,05/08/2012,16:30,KuPS,Honka,0.0,2.0,A,2.91,3.29,2.33
FIN,2012,06/08/2012,16:30,TPS,Mariehamn,1.0,1.0,D,1.78,3.55,4.23
