Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA
IRL,02/03/2012,19:05,Drogheda,Shamrock Rovers,1.0,2.0,A,9.8,4.74,1.3
IRL,02/03/2012,19:45,Derry City,Bohemians,1.0,0.0,H,1.73,3.27,5.1
IRL,02/03/2012,19:45,St. Patricks,Bray,1.0,0.0,H,1.44,4.06,6.92
IRL,02/03/2012,19:45,UC Dublin,Cork City,1.0,0.0,H,4.02,3.31,1.87
IRL,02/03/2012,20:00,Monaghan,Dundalk,0.0,0.0,D,2.9,3.05,2.44
IRL,02/03/2012,20:00,Shelbourne,Sligo Rovers,1.0,1.0,D,3.32,3.16,2.14
IRL,09/03/2012,19:45,Bohemians,Shelbourne,0.0,2.0,A,2.55,3.01,2.75
IRL,09/03/2012,19:45,Bray,Derry City,0.0,4.0,A,6.25,3.7,1.52
IRL,09/03/2012,19:45,Cork City,Drogheda,2.0,3.0,A,1.69,3.41,4.96
IRL,09/03/2012,19:45,Dundalk,St. Patricks,0.0,2.0,A,3.95,3.22,1.91
IRL,09/03/2012,20:00,Shamrock Rovers,Monaghan,3.0,1.0,H,1.23,5.43,11.69
IRL,10/03/2012,19:45,Sligo Rovers,UC Dublin,2.0,1.0,H,1.3,4.88,9.37
IRL,16/03/2012,19:05,Cork City,Shamrock Rovers,1.0,1.0,D,5.14,3.56,1.64
IRL,16/03/2012,19:45,Drogheda,Dundalk,0.0,0.0,D,2.05,3.16,3.57
IRL,16/03/2012,19:45,Sligo Rovers,Bohemians,1.0,0.0,H,1.49,3.73,6.63
IRL,16/03/2012,19:45,St. Patricks,Monaghan,1.0,1.0,D,1.35,4.29,8.93
IRL,16/03/2012,19:45,UC Dublin,Bray,2.0,3.0,A,2.03,3.24,3.56
IRL,16/03/2012,20:00,Shelbourne,Derry City,1.0,0.0,H,3.13,3.09,2.28
IRL,23/03/2012,19:45,Bray,Drogheda,2.0,4.0,A,2.79,3.15,2.45
IRL,23/03/2012,19:45,Derry City,Cork City,2.0,0.0,H,1.85,3.23,4.26
IRL,23/03/2012,19:45,Dundalk,UC Dublin,2.0,1.0,H,2.41,3.08,2.91
IRL,23/03/2012,20:00,Monaghan,Sligo Rovers,0.0,1.0,A,6.39,3.66,1.54
IRL,23/03/2012,20:10,Shamrock Rovers,Shelbourne,4.0,0.0,H,1.72,3.4,4.85
IRL,25/03/2012,16:00,Bohemians,St. Patricks,0.0,0.0,D,3.81,3.08,2.01
IRL,30/03/2012,19:05,Shamrock Rovers,Bohemians,2.0,0.0,H,1.37,4.15,8.63
IRL,30/03/2012,19:45,Cork City,Bray,1.0,1.0,D,1.56,3.71,5.73
IRL,30/03/2012,19:45,Drogheda,Derry City,2.0,0.0,H,4.21,3.52,1.78
IRL,30/03/2012,19:45,UC Dublin,Monaghan,3.0,2.0,H,2.21,3.14,3.28
IRL,30/03/2012,20:00,Shelbourne,St. Patricks,1.0,1.0,D,2.99,3.08,2.36
IRL,31/03/2012,19:45,Sligo Rovers,Dundalk,3.0,0.0,H,1.24,5.28,11.67
IRL,06/04/2012,19:05,St. Patricks,Shamrock Rovers,5.0,1.0,H,3.23,3.15,2.18
IRL,06/04/2012,19:45,Bohemians,Cork City,1.0,0.0,H,2.57,3.0,2.76
IRL,06/04/2012,19:45,Bray,Sligo Rovers,1.0,2.0,A,8.32,4.17,1.38
IRL,06/04/2012,19:45,Derry City,UC Dublin,0.0,0.0,D,1.43,4.0,7.39
IRL,06/04/2012,19:45,Dundalk,Shelbourne,0.0,0.0,D,3.61,3.2,2.03
IRL,06/04/2012,20:00,Monaghan,Drogheda,0.0,1.0,A,3.01,3.13,2.32
IRL,13/04/2012,19:05,Sligo Rovers,Derry City,1.0,1.0,D,1.69,3.45,4.99
IRL,13/04/2012,19:45,Cork City,Monaghan,6.0,0.0,H,1.78,3.32,4.52
IRL,13/04/2012,19:45,Drogheda,St. Patricks,0.0,0.0,D,3.71,3.28,1.96
IRL,13/04/2012,19:45,UC Dublin,Bohemians,1.0,2.0,A,3.16,3.07,2.25
IRL,13/04/2012,20:00,Shamrock Rovers,Dundalk,6.0,0.0,H,1.26,5.05,10.67
IRL,13/04/2012,20:00,Shelbourne,Bray,2.0,1.0,H,1.58,3.57,5.8
IRL,20/04/2012,19:45,Bohemians,Monaghan,1.0,2.0,A,1.66,3.5,5.11
IRL,20/04/2012,19:45,Bray,Shamrock Rovers,2.0,2.0,D,7.67,4.27,1.39
IRL,20/04/2012,19:45,Cork City,Sligo Rovers,0.0,1.0,A,4.33,3.37,1.79
IRL,20/04/2012,19:45,Derry City,Dundalk,1.0,2.0,A,1.43,3.98,7.46
IRL,20/04/2012,19:45,Drogheda,Shelbourne,3.0,1.0,H,2.8,3.07,2.5
