Div,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA
MEX,1213,21/07/2012,01:30,Chiapas,U.A.N.L.- Tigres,0.0,4.0,A,2.74,3.1,2.51
MEX,1213,21/07/2012,03:30,Club Tijuana,Puebla,2.0,0.0,H,1.93,3.26,3.83
MEX,1213,21/07/2012,23:00,Cruz Azul,Monarcas,0.0,0.0,D,2.0,3.26,3.56
MEX,1213,21/07/2012,23:00,Queretaro,Club Leon,0.0,2.0,A,3.26,3.18,2.16
MEX,1213,22/07/2012,01:00,Monterrey,Club America,0.0,0.0,D,1.92,3.37,3.79
MEX,1213,22/07/2012,01:00,Santos Laguna,Atl. San Luis,2.0,1.0,H,1.63,3.63,5.06
MEX,1213,22/07/2012,03:00,Atlas,U.N.A.M.- Pumas,1.0,1.0,D,2.53,3.04,2.76
MEX,1213,22/07/2012,18:00,Toluca,Guadalajara Chivas,2.0,1.0,H,2.47,3.09,2.79
MEX,1213,23/07/2012,00:00,Atlante,Pachuca,0.0,0.0,D,2.6,3.11,2.65
MEX,1213,28/07/2012,01:30,Monarcas,Monterrey,1.0,0.0,H,2.6,3.13,2.6
MEX,1213,28/07/2012,03:30,Club Leon,Club Tijuana,4.0,0.0,H,1.88,3.29,3.99
MEX,1213,28/07/2012,23:00,Club America,Chiapas,4.0,2.0,H,1.66,3.59,4.79
MEX,1213,29/07/2012,01:00,Pachuca,Atlas,0.0,3.0,A,1.81,3.38,4.2
MEX,1213,29/07/2012,01:00,U.A.N.L.- Tigres,Atlante,2.0,1.0,H,1.43,4.04,7.19
MEX,1213,29/07/2012,03:00,Atl. San Luis,Cruz Azul,1.0,2.0,A,2.9,3.14,2.34
MEX,1213,29/07/2012,18:00,Puebla,Toluca,1.0,3.0,A,2.41,3.15,2.8
MEX,1213,29/07/2012,18:00,U.N.A.M.- Pumas,Queretaro,3.0,0.0,H,1.57,3.69,5.6
MEX,1213,29/07/2012,23:00,Guadalajara Chivas,Santos Laguna,0.0,1.0,A,2.39,3.13,2.87
MEX,1213,04/08/2012,01:00,Santos Laguna,Puebla,2.0,2.0,D,1.44,4.15,6.64
MEX,1213,04/08/2012,01:30,Club Tijuana,U.N.A.M.- Pumas,1.0,0.0,H,2.55,3.05,2.72
MEX,1213,04/08/2012,03:30,Monarcas,Atl. San Luis,3.0,3.0,D,1.67,3.54,4.86
