Div,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA
NOR,2012,23/03/2012,18:00,Molde,Stromsgodset,2.0,1.0,H,1.62,3.75,5.24
NOR,2012,24/03/2012,17:00,Honefoss,Lillestrom,0.0,0.0,D,2.45,3.29,2.72
NOR,2012,25/03/2012,17:00,Odd,Sogndal,0.0,4.0,A,1.57,3.78,5.64
NOR,2012,25/03/2012,17:00,Stabaek,Aalesund,0.0,0.0,D,2.63,3.28,2.52
NOR,2012,25/03/2012,17:00,Tromso,Fredrikstad,1.0,0.0,H,1.6,3.69,5.38
NOR,2012,25/03/2012,17:00,Valerenga,Haugesund,2.0,1.0,H,1.73,3.59,4.46
NOR,2012,25/03/2012,19:00,Rosenborg,Brann,3.0,1.0,H,1.51,4.31,5.46
NOR,2012,26/03/2012,18:00,Sandnes,Viking,2.0,2.0,D,2.82,3.26,2.39
NOR,2012,30/03/2012,18:00,Brann,Sandnes,3.0,1.0,H,1.61,3.78,5.17
NOR,2012,31/03/2012,17:00,Stromsgodset,Valerenga,3.0,2.0,H,2.1,3.4,3.23
NOR,2012,01/04/2012,17:00,Fredrikstad,Stabaek,5.0,1.0,H,1.92,3.45,3.67
NOR,2012,01/04/2012,17:00,Haugesund,Molde,2.0,0.0,H,2.21,3.36,3.02
NOR,2012,01/04/2012,17:00,Sogndal,Honefoss,0.0,0.0,D,1.95,3.37,3.67
NOR,2012,01/04/2012,17:00,Viking,Odd,1.0,0.0,H,1.76,3.56,4.29
NOR,2012,01/04/2012,19:00,Lillestrom,Rosenborg,2.0,2.0,D,3.16,3.36,2.14
NOR,2012,02/04/2012,18:00,Aalesund,Tromso,0.0,0.0,D,2.15,3.27,3.22
NOR,2012,09/04/2012,15:00,Odd,Lillestrom,2.0,0.0,H,2.24,3.32,3.0
NOR,2012,09/04/2012,17:00,Honefoss,Fredrikstad,1.0,1.0,D,2.18,3.34,3.14
NOR,2012,09/04/2012,17:00,Rosenborg,Sogndal,0.0,0.0,D,1.3,4.95,9.46
NOR,2012,09/04/2012,17:00,Sandnes,Aalesund,1.0,1.0,D,2.53,3.24,2.68
NOR,2012,09/04/2012,17:00,Stromsgodset,Haugesund,3.0,3.0,D,1.91,3.49,3.74
NOR,2012,09/04/2012,17:00,Tromso,Stabaek,3.0,0.0,H,1.41,4.35,7.48
NOR,2012,09/04/2012,19:00,Molde,Brann,2.0,1.0,H,1.53,4.05,5.67
NOR,2012,10/04/2012,18:00,Valerenga,Viking,1.0,0.0,H,1.93,3.41,3.78
NOR,2012,13/04/2012,18:00,Fredrikstad,Rosenborg,1.0,2.0,A,3.02,3.37,2.23
NOR,2012,15/04/2012,17:00,Aalesund,Odd,2.0,1.0,H,1.81,3.49,4.22
NOR,2012,15/04/2012,17:00,Brann,Stromsgodset,1.0,2.0,A,2.07,3.42,3.32
NOR,2012,15/04/2012,17:00,Sogndal,Haugesund,1.0,1.0,D,2.51,3.27,2.66
NOR,2012,15/04/2012,17:00,Tromso,Sandnes,3.0,1.0,H,1.38,4.55,7.58
NOR,2012,15/04/2012,19:00,Lillestrom,Valerenga,1.0,1.0,D,2.2,3.3,3.14
NOR,2012,16/04/2012,18:00,Stabaek,Honefoss,0.0,2.0,A,2.23,3.33,3.05
NOR,2012,16/04/2012,18:00,Viking,Molde,1.0,0.0,H,2.23,3.34,3.04
NOR,2012,20/04/2012,18:00,Valerenga,Sogndal,0.0,2.0,A,1.71,3.55,4.84
NOR,2012,21/04/2012,17:00,Haugesund,Brann,2.0,1.0,H,1.62,3.87,5.08
NOR,2012,22/04/2012,17:00,Honefoss,Aalesund,3.0,1.0,H,2.33,3.22,2.97
NOR,2012,22/04/2012,17:00,Odd,Fredrikstad,1.0,1.0,D,1.98,3.37,3.6
NOR,2012,22/04/2012,17:00,Sandnes,Stabaek,2.0,1.0,H,1.92,3.5,3.68
NOR,2012,22/04/2012,17:00,Stromsgodset,Viking,1.0,0.0,H,1.79,3.51,4.31
NOR,2012,22/04/2012,19:00,Rosenborg,Tromso,3.0,0.0,H,1.64,3.78,5.05
NOR,2012,23/04/2012,18:00,Molde,Lillestrom,3.0,2.0,H,1.53,3.96,6.01
NOR,2012,27/04/2012,18:00,Aalesund,Rosenborg,2.0,2.0,D,3.02,3.35,2.25
NOR,2012,28/04/2012,15:00,Lillestrom,Stromsgodset,0.0,1.0,A,2.34,3.27,2.92
NOR,2012,28/04/2012,17:00,Fredrikstad,Sandnes,3.0,4.0,A,1.67,3.67,4.9
NOR,2012,28/04/2012,17:00,Stabaek,Odd,0.0,2.0,A,2.7,3.34,2.47
NOR,2012,28/04/2012,17:00,Tromso,Honefoss,0.0,0.0,D,1.42,4.27,7.21
NOR,2012,28/04/2012,17:00,Viking,Haugesund,0.0,2.0,A,1.97,3.42,3.62
NOR,2012,28/04/2012,19:00,Sogndal,Molde,2.0,1.0,H,2.86,3.18,2.42
NOR,2012,29/04/2012,18:00,Brann,Valerenga,1.0,2.0,A,2.04,3.37,3.46
NOR,2012,04/05/2012,17:00,Rosenborg,Stabaek,3.0,1.0,H,1.19,6.67,12.61
NOR,2012,05/05/2012,17:00,Odd,Tromso,2.0,2.0,D,2.34,3.24,2.89
NOR,2012,06/05/2012,17:00,Haugesund,Lillestrom,1.0,1.0,D,1.62,3.89,5.04
NOR,2012,06/05/2012,17:00,Sandnes,Honefoss,1.0,0.0,H,2.15,3.29,3.19
NOR,2012,06/05/2012,17:00,Stromsgodset,Sogndal,3.0,0.0,H,1.61,3.75,5.4
NOR,2012,06/05/2012,17:00,Valerenga,Fredrikstad,3.0,2.0,H,1.84,3.52,4.02
NOR,2012,06/05/2012,19:00,Molde,Aalesund,2.0,1.0,H,1.68,3.62,4.91
NOR,2012,07/05/2012,18:00,Brann,Viking,0.0,0.0,D,2.24,3.29,3.01
NOR,2012,12/05/2012,15:00,Stabaek,Molde,0.0,5.0,A,3.6,3.44,1.98
NOR,2012,12/05/2012,17:00,Tromso,Valerenga,3.0,1.0,H,1.65,3.76,4.96
NOR,2012,13/05/2012,17:00,Aalesund,Stromsgodset,3.0,1.0,H,2.45,3.26,2.79
NOR,2012,13/05/2012,17:00,Fredrikstad,Haugesund,0.0,0.0,D,2.51,3.34,2.65
NOR,2012,13/05/2012,17:00,Honefoss,Odd,1.0,4.0,A,2.24,3.22,3.14
NOR,2012,13/05/2012,17:00,Sandnes,Rosenborg,1.0,1.0,D,4.03,3.55,1.83
NOR,2012,13/05/2012,17:00,Sogndal,Viking,1.0,2.0,A,2.38,3.16,2.97
NOR,2012,13/05/2012,19:00,Lillestrom,Brann,3.0,4.0,A,1.96,3.51,3.57
NOR,2012,16/05/2012,17:00,Haugesund,Aalesund,4.0,2.0,H,1.71,3.61,4.67
NOR,2012,16/05/2012,17:00,Molde,Fredrikstad,2.0,0.0,H,1.38,4.61,7.72
NOR,2012,16/05/2012,17:00,Rosenborg,Honefoss,0.0,1.0,A,1.28,5.34,9.82
NOR,2012,16/05/2012,17:00,Stromsgodset,Tromso,2.0,0.0,H,2.01,3.37,3.55
NOR,2012,16/05/2012,17:00,Viking,Lillestrom,1.0,2.0,A,1.7,3.63,4.79
NOR,2012,16/05/2012,19:00,Brann,Sogndal,5.0,0.0,H,1.72,3.7,4.5
NOR,2012,16/05/2012,19:00,Odd,Sandnes,2.0,2.0,D,1.62,3.84,5.08
NOR,2012,19/05/2012,15:00,Fredrikstad,Stromsgodset,2.0,3.0,A,2.82,3.33,2.38
NOR,2012,19/05/2012,17:00,Honefoss,Valerenga,1.0,0.0,H,2.27,3.35,2.95
NOR,2012,20/05/2012,17:00,Aalesund,Brann,2.0,0.0,H,1.93,3.52,3.66
NOR,2012,20/05/2012,17:00,Lillestrom,Sogndal,1.0,0.0,H,1.8,3.56,4.2
NOR,2012,20/05/2012,17:00,Sandnes,Molde,0.0,2.0,A,3.02,3.3,2.27
NOR,2012,20/05/2012,17:00,Stabaek,Haugesund,0.0,2.0,A,4.17,3.63,1.79
NOR,2012,20/05/2012,17:00,Tromso,Viking,5.0,1.0,H,1.78,3.46,4.46
NOR,2012,20/05/2012,19:00,Rosenborg,Odd,0.0,0.0,D,1.43,4.37,6.89
NOR,2012,23/05/2012,18:00,Brann,Fredrikstad,2.0,0.0,H,1.62,3.9,4.96
NOR,2012,23/05/2012,18:00,Sogndal,Sandnes,0.0,0.0,D,2.07,3.3,3.46
NOR,2012,23/05/2012,18:00,Stromsgodset,Odd,1.0,0.0,H,1.59,3.84,5.47
NOR,2012,23/05/2012,18:00,Viking,Stabaek,1.0,0.0,H,1.44,4.26,7.01
NOR,2012,23/05/2012,19:00,Valerenga,Rosenborg,0.0,0.0,D,2.69,3.34,2.49
NOR,2012,24/05/2012,18:00,Haugesund,Honefoss,1.0,1.0,D,1.53,3.98,6.05
NOR,2012,24/05/2012,18:00,Lillestrom,Aalesund,0.0,0.0,D,2.17,3.3,3.24
NOR,2012,24/05/2012,18:00,Molde,Tromso,3.0,2.0,H,1.76,3.55,4.49
NOR,2012,28/05/2012,17:00,Honefoss,Molde,1.0,1.0,D,3.11,3.37,2.2
NOR,2012,28/05/2012,17:00,Sandnes,Haugesund,0.0,2.0,A,2.99,3.34,2.27
