Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA
POL,17/08/2012,17:00,Pogon Szczecin,Zaglebie,4.0,0.0,H,3.01,3.11,2.34
POL,17/08/2012,19:30,Piast Gliwice,Gornik Z.,1.0,2.0,A,2.56,3.05,2.78
POL,18/08/2012,12:30,Jagiellonia,Podbeskidzie,2.0,1.0,H,1.74,3.42,4.72
POL,18/08/2012,14:45,Widzew Lodz,Slask Wroclaw,2.0,1.0,H,2.66,3.03,2.66
POL,18/08/2012,17:00,Lech Poznan,Ruch,4.0,0.0,H,2.05,3.16,3.61
POL,19/08/2012,13:30,Wisla,GKS Belchatow,2.0,1.0,H,1.5,3.88,6.48
POL,19/08/2012,16:00,Legia,Korona Kielce,4.0,0.0,H,1.63,3.49,5.66
POL,20/08/2012,17:30,Lechia Gdansk,Polonia Warszawa,1.0,3.0,A,2.3,3.01,3.22
POL,24/08/2012,17:00,Zaglebie,Piast Gliwice,2.0,1.0,H,1.83,3.43,4.2
POL,24/08/2012,19:30,Jagiellonia,Gornik Z.,1.0,1.0,D,2.1,3.16,3.5
POL,25/08/2012,12:30,Podbeskidzie,Wisla,1.0,1.0,D,3.79,3.26,1.95
POL,25/08/2012,14:45,Widzew Lodz,Ruch,2.0,0.0,H,2.36,3.06,3.05
POL,25/08/2012,17:00,Polonia Warszawa,Lech Poznan,1.0,2.0,A,2.83,3.06,2.48
POL,26/08/2012,13:30,Slask Wroclaw,Korona Kielce,2.0,0.0,H,2.26,3.14,3.16
POL,26/08/2012,16:00,GKS Belchatow,Legia,0.0,2.0,A,3.92,3.28,1.93
POL,27/08/2012,17:30,Pogon Szczecin,Lechia Gdansk,0.0,2.0,A,2.1,3.18,3.5
POL,31/08/2012,17:00,Piast Gliwice,Pogon Szczecin,1.0,0.0,H,2.27,3.14,3.12
POL,31/08/2012,19:30,Wisla,Polonia Warszawa,1.0,3.0,A,1.81,3.32,4.49
POL,01/09/2012,12:30,Korona Kielce,Lechia Gdansk,0.0,1.0,A,2.13,3.15,3.4
POL,01/09/2012,14:45,Widzew Lodz,GKS Belchatow,1.0,0.0,H,2.0,3.21,3.73
POL,01/09/2012,17:00,Jagiellonia,Zaglebie,0.0,0.0,D,2.24,3.19,3.16
POL,02/09/2012,13:30,Lech Poznan,Gornik Z.,0.0,0.0,D,1.58,3.58,5.99
POL,02/09/2012,16:00,Slask Wroclaw,Ruch,1.0,0.0,H,1.97,3.31,3.71
POL,03/09/2012,17:30,Legia,Podbeskidzie,3.0,1.0,H,1.3,4.8,10.3
POL,14/09/2012,17:00,Podbeskidzie,Slask Wroclaw,1.0,1.0,D,3.23,3.18,2.21
POL,14/09/2012,19:45,Pogon Szczecin,Wisla,2.0,0.0,H,2.96,3.08,2.41
POL,15/09/2012,12:30,Polonia Warszawa,Jagiellonia,1.0,1.0,D,1.76,3.46,4.54
POL,15/09/2012,14:45,Lechia Gdansk,Piast Gliwice,1.0,2.0,A,1.89,3.28,4.1
POL,15/09/2012,17:00,Ruch,Korona Kielce,1.0,1.0,D,1.98,3.28,3.74
POL,16/09/2012,13:30,Zaglebie,Widzew Lodz,0.0,1.0,A,1.97,3.25,3.81
POL,16/09/2012,16:00,Gornik Z.,Legia,2.0,2.0,D,3.33,3.15,2.17
POL,17/09/2012,17:30,GKS Belchatow,Lech Poznan,0.0,1.0,A,3.4,3.13,2.16
POL,21/09/2012,17:00,Korona Kielce,Podbeskidzie,2.0,1.0,H,1.88,3.35,3.97
POL,21/09/2012,19:30,Legia,Polonia Warszawa,1.0,1.0,D,1.8,3.41,4.31
POL,22/09/2012,12:30,Jagiellonia,Piast Gliwice,0.0,2.0,A,1.86,3.33,4.15
POL,22/09/2012,14:45,Ruch,Zaglebie,2.0,1.0,H,2.1,3.23,3.41
POL,22/09/2012,17:00,Wisla,Lechia Gdansk,1.0,0.0,H,1.85,3.33,4.18
POL,23/09/2012,13:30,Slask Wroclaw,GKS Belchatow,2.0,1.0,H,1.65,3.58,5.21
POL,23/09/2012,16:00,Lech Poznan,Pogon Szczecin,1.0,1.0,D,1.64,3.5,5.55
POL,24/09/2012,17:30,Widzew Lodz,Gornik Z.,1.0,1.0,D,2.42,3.08,2.92
POL,28/09/2012,17:00,Podbeskidzie,Ruch,1.0,2.0,A,3.08,3.15,2.3
POL,28/09/2012,19:45,Polonia Warszawa,Widzew Lodz,3.0,1.0,H,1.96,3.19,4.01
POL,29/09/2012,12:30,GKS Belchatow,Korona Kielce,1.0,1.0,D,2.49,3.05,2.84
POL,29/09/2012,14:45,Pogon Szczecin,Jagiellonia,1.0,1.0,D,1.97,3.23,3.83
POL,29/09/2012,17:00,Zaglebie,Legia,2.0,2.0,D,3.9,3.26,1.94
POL,30/09/2012,13:30,Gornik Z.,Slask Wroclaw,4.0,1.0,H,2.31,3.14,3.04
POL,30/09/2012,16:00,Lechia Gdansk,Lech Poznan,2.0,0.0,H,3.26,3.13,2.2
POL,01/10/2012,17:30,Piast Gliwice,Wisla,2.0,0.0,H,2.99,3.11,2.36
POL,05/10/2012,17:00,Ruch,GKS Belchatow,2.0,1.0,H,1.7,3.46,5.02
