Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA
ROU,20/07/2012,16:30,Pandurii,U. Cluj,6.0,2.0,H,1.47,3.85,6.43
ROU,20/07/2012,18:20,CS Turnu Severin,Din. Bucuresti,1.0,2.0,A,4.45,3.37,1.73
ROU,21/07/2012,17:00,Petrolul,Ceahlaul,5.0,0.0,H,1.43,3.99,6.83
ROU,21/07/2012,19:30,CFR Cluj,Gaz Metan Medias,1.0,1.0,D,1.5,3.86,5.83
ROU,22/07/2012,17:00,Bistrita,Astra,1.0,2.0,A,2.41,3.05,2.78
ROU,22/07/2012,17:00,Poli Iasi,Otelul,1.0,2.0,A,3.59,3.11,2.0
ROU,22/07/2012,19:30,FC Rapid Bucuresti,Vaslui,2.0,2.0,D,2.23,3.1,3.04
ROU,23/07/2012,17:00,Viitorul Constanta,FC Brasov,2.0,2.0,D,2.93,3.08,2.33
ROU,23/07/2012,19:30,FCSB,Concordia,1.0,0.0,H,1.3,4.81,9.01
ROU,27/07/2012,17:00,FC Brasov,CS Turnu Severin,2.0,1.0,H,1.66,3.39,4.95
ROU,27/07/2012,19:30,Ceahlaul,CFR Cluj,2.0,2.0,D,4.68,3.45,1.69
ROU,28/07/2012,17:00,Gaz Metan Medias,Pandurii,0.0,2.0,A,2.37,3.1,2.81
ROU,28/07/2012,19:15,Astra,FCSB,3.0,4.0,A,3.66,3.12,2.01
ROU,28/07/2012,19:30,Vaslui,Petrolul,3.0,0.0,H,1.99,3.23,3.53
ROU,29/07/2012,17:00,U. Cluj,Bistrita,1.0,0.0,H,2.4,3.14,2.74
ROU,29/07/2012,19:30,Din. Bucuresti,Poli Iasi,5.0,2.0,H,1.33,4.46,8.58
ROU,30/07/2012,16:30,Concordia,Viitorul Constanta,1.0,1.0,D,2.41,3.07,2.81
ROU,30/07/2012,18:20,Otelul,FC Rapid Bucuresti,1.0,1.0,D,2.63,3.02,2.61
ROU,03/08/2012,17:00,Bistrita,Gaz Metan Medias,1.0,1.0,D,2.67,3.04,2.54
ROU,03/08/2012,19:30,Pandurii,Ceahlaul,3.0,1.0,H,1.4,4.06,7.35
ROU,04/08/2012,17:00,CS Turnu Severin,Concordia,0.0,1.0,A,2.3,3.13,2.9
ROU,04/08/2012,19:30,Petrolul,Otelul,2.0,1.0,H,1.75,3.4,4.32
ROU,04/08/2012,19:45,CFR Cluj,Vaslui,3.0,0.0,H,2.36,3.09,2.86
ROU,05/08/2012,17:00,Viitorul Constanta,Astra,0.0,0.0,D,2.51,3.08,2.68
ROU,05/08/2012,19:30,FCSB,U. Cluj,5.0,1.0,H,1.23,5.25,10.96
