Div,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA
RUS,1213,20/07/2012,16:00,M. Saransk,Lokomotiv Moscow,2.0,3.0,A,4.54,3.44,1.75
RUS,1213,21/07/2012,10:30,CSKA Moscow,FK Rostov,1.0,0.0,H,1.34,4.44,8.88
RUS,1213,21/07/2012,13:30,Volga N. Novgorod,Dynamo Moscow,1.0,0.0,H,3.96,3.35,1.88
RUS,1213,21/07/2012,17:00,Vladikavkaz,Spartak Moscow,1.0,2.0,A,3.78,3.28,1.95
RUS,1213,22/07/2012,12:00,Zenit,Amkar,2.0,0.0,H,1.26,5.11,11.62
RUS,1213,22/07/2012,14:30,Krylya Sovetov,Akhmat Grozny,1.0,1.0,D,2.36,3.04,3.04
RUS,1213,22/07/2012,17:00,FK Anzi Makhackala,Kuban,2.0,1.0,H,1.54,3.63,6.43
RUS,1213,23/07/2012,16:30,Krasnodar,Rubin Kazan,2.0,1.0,H,3.75,3.25,1.96
RUS,1213,27/07/2012,17:00,Kuban,M. Saransk,1.0,0.0,H,1.66,3.47,5.15
RUS,1213,28/07/2012,10:30,Zenit,Dynamo Moscow,2.0,0.0,H,1.61,3.58,5.44
RUS,1213,28/07/2012,13:30,Amkar,CSKA Moscow,3.0,1.0,H,4.53,3.24,1.81
RUS,1213,28/07/2012,16:00,Lokomotiv Moscow,Krylya Sovetov,2.0,0.0,H,1.43,3.93,7.33
RUS,1213,29/07/2012,12:00,Rubin Kazan,Vladikavkaz,3.0,1.0,H,1.36,4.33,8.67
RUS,1213,29/07/2012,14:30,Spartak Moscow,Volga N. Novgorod,2.0,1.0,H,1.33,4.6,9.02
RUS,1213,29/07/2012,17:00,FK Rostov,FK Anzi Makhackala,2.0,2.0,D,3.67,3.24,1.98
RUS,1213,30/07/2012,16:00,Akhmat Grozny,Krasnodar,1.0,0.0,H,2.34,3.09,3.0
RUS,1213,03/08/2012,16:00,M. Saransk,FK Rostov,3.0,0.0,H,2.52,3.07,2.77
RUS,1213,04/08/2012,10:30,CSKA Moscow,Zenit,1.0,3.0,A,3.11,3.15,2.24
RUS,1213,04/08/2012,14:30,Vladikavkaz,Akhmat Grozny,5.0,0.0,H,2.35,3.07,3.02
RUS,1213,04/08/2012,17:00,Krasnodar,Lokomotiv Moscow,3.0,1.0,H,3.23,3.16,2.19
RUS,1213,05/08/2012,14:00,Krylya Sovetov,Kuban,2.0,1.0,H,3.01,2.98,2.41
RUS,1213,05/08/2012,16:00,FK Anzi Makhackala,Amkar,1.0,0.0,H,1.44,3.97,7.46
RUS,1213,05/08/2012,18:00,Dynamo Moscow,Spartak Moscow,0.0,4.0,A,2.87,3.16,2.39
RUS,1213,06/08/2012,15:00,Volga N. Novgorod,Rubin Kazan,1.0,2.0,A,4.16,3.23,1.89
RUS,1213,10/08/2012,17:00,Kuban,Krasnodar,2.0,1.0,H,2.38,3.04,3.0
RUS,1213,11/08/2012,10:30,Zenit,Spartak Moscow,5.0,0.0,H,1.91,3.28,3.92
