Div,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA
SWE,2012,31/03/2012,15:00,Elfsborg,Djurgarden,2.0,1.0,H,1.66,3.68,5.0
SWE,2012,31/03/2012,15:00,GAIS,Hacken,0.0,0.0,D,2.25,3.24,3.11
SWE,2012,31/03/2012,15:00,Sundsvall,Kalmar,0.0,1.0,A,2.64,3.14,2.62
SWE,2012,01/04/2012,13:00,AIK,Mjallby,0.0,0.0,D,1.71,3.43,4.99
SWE,2012,01/04/2012,16:30,Syrianska,Goteborg,2.0,1.0,H,4.63,3.41,1.77
SWE,2012,02/04/2012,18:00,Malmo FF,Gefle,0.0,0.0,D,1.39,4.33,8.15
SWE,2012,02/04/2012,18:00,Orebro,Atvidabergs,3.0,4.0,A,2.1,3.2,3.51
SWE,2012,02/04/2012,18:05,Norrkoping,Helsingborg,1.0,0.0,H,3.63,3.34,2.0
SWE,2012,06/04/2012,14:00,Atvidabergs,GAIS,2.0,1.0,H,2.68,3.21,2.54
SWE,2012,06/04/2012,14:00,Gefle,Syrianska,1.0,1.0,D,2.02,3.27,3.64
SWE,2012,07/04/2012,13:00,Hacken,Malmo FF,5.0,0.0,H,2.58,3.16,2.69
SWE,2012,07/04/2012,15:00,Mjallby,Orebro,0.0,0.0,D,1.95,3.27,3.85
SWE,2012,08/04/2012,14:00,Djurgarden,Sundsvall,1.0,0.0,H,1.63,3.64,5.32
SWE,2012,08/04/2012,16:30,Helsingborg,Elfsborg,2.0,1.0,H,1.97,3.34,3.73
SWE,2012,09/04/2012,14:00,Goteborg,Norrkoping,1.0,2.0,A,1.46,4.13,6.83
SWE,2012,09/04/2012,16:30,Kalmar,AIK,1.0,2.0,A,2.4,3.15,2.95
SWE,2012,10/04/2012,18:00,Atvidabergs,Gefle,6.0,1.0,H,2.01,3.24,3.63
SWE,2012,11/04/2012,18:00,GAIS,Djurgarden,0.0,0.0,D,2.05,3.26,3.55
SWE,2012,11/04/2012,18:00,Orebro,Helsingborg,0.0,0.0,D,3.22,3.26,2.19
SWE,2012,12/04/2012,18:00,Elfsborg,Norrkoping,2.0,0.0,H,1.5,4.06,6.11
SWE,2012,12/04/2012,18:00,Hacken,Mjallby,4.0,2.0,H,1.72,3.42,4.88
SWE,2012,12/04/2012,18:00,Sundsvall,Syrianska,4.0,0.0,H,1.77,3.46,4.59
SWE,2012,12/04/2012,18:05,AIK,Goteborg,1.0,1.0,D,2.27,3.18,3.1
SWE,2012,13/04/2012,18:00,Malmo FF,Kalmar,2.0,0.0,H,1.64,3.68,5.24
SWE,2012,15/04/2012,14:00,Syrianska,AIK,0.0,1.0,A,4.26,3.37,1.84
SWE,2012,15/04/2012,16:30,Goteborg,Orebro,2.0,2.0,D,1.44,4.09,7.17
SWE,2012,15/04/2012,16:30,Mjallby,Atvidabergs,2.0,0.0,H,2.03,3.3,3.49
SWE,2012,16/04/2012,18:00,Gefle,Elfsborg,1.0,2.0,A,3.76,3.34,1.95
SWE,2012,16/04/2012,18:00,Helsingborg,GAIS,1.0,1.0,D,1.72,3.43,4.94
SWE,2012,16/04/2012,18:00,Kalmar,Hacken,3.0,1.0,H,2.92,3.22,2.36
SWE,2012,16/04/2012,18:00,Norrkoping,Sundsvall,2.0,2.0,D,2.03,3.23,3.67
SWE,2012,16/04/2012,18:05,Djurgarden,Malmo FF,2.0,3.0,A,2.52,3.18,2.75
SWE,2012,20/04/2012,18:00,Mjallby,Djurgarden,4.0,3.0,H,2.09,3.19,3.54
SWE,2012,21/04/2012,13:00,Atvidabergs,Helsingborg,1.0,2.0,A,3.07,3.26,2.26
SWE,2012,21/04/2012,15:00,Kalmar,Gefle,0.0,1.0,A,1.71,3.54,4.83
SWE,2012,22/04/2012,14:00,GAIS,Norrkoping,2.0,0.0,H,1.72,3.54,4.74
SWE,2012,22/04/2012,16:30,AIK,Sundsvall,1.0,1.0,D,1.53,3.85,6.16
SWE,2012,23/04/2012,18:00,Hacken,Goteborg,1.0,2.0,A,2.37,3.27,2.86
SWE,2012,23/04/2012,18:00,Malmo FF,Syrianska,2.0,0.0,H,1.23,5.7,12.24
SWE,2012,23/04/2012,18:05,Orebro,Elfsborg,0.0,2.0,A,3.49,3.34,2.04
SWE,2012,26/04/2012,17:30,Elfsborg,GAIS,2.0,1.0,H,1.64,3.68,5.18
SWE,2012,26/04/2012,17:30,Gefle,AIK,0.0,1.0,A,3.25,3.19,2.21
SWE,2012,27/04/2012,18:00,Helsingborg,Mjallby,1.0,1.0,D,1.68,3.58,5.02
SWE,2012,28/04/2012,13:00,Syrianska,Hacken,1.0,2.0,A,4.25,3.55,1.79
