Div,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA
SWZ,1213,13/07/2012,18:45,Servette,Basel,0.0,1.0,A,5.32,3.85,1.59
SWZ,1213,14/07/2012,18:45,Thun,Lausanne,0.0,0.0,D,1.7,3.51,4.85
SWZ,1213,15/07/2012,12:45,Grasshoppers,Sion,0.0,2.0,A,3.07,3.24,2.25
SWZ,1213,15/07/2012,12:45,Luzern,Zurich,1.0,1.0,D,2.1,3.33,3.31
SWZ,1213,15/07/2012,15:00,St. Gallen,Young Boys,1.0,1.0,D,3.32,3.43,2.06
SWZ,1213,21/07/2012,18:45,Basel,Luzern,2.0,2.0,D,1.58,3.81,5.48
SWZ,1213,21/07/2012,18:45,Lausanne,St. Gallen,0.0,1.0,A,2.51,3.19,2.73
SWZ,1213,22/07/2012,12:45,Sion,Servette,1.0,0.0,H,1.7,3.52,4.87
SWZ,1213,22/07/2012,12:45,Young Boys,Grasshoppers,0.0,1.0,A,1.48,4.11,6.27
SWZ,1213,22/07/2012,15:00,Zurich,Thun,0.0,2.0,A,1.74,3.49,4.58
SWZ,1213,28/07/2012,18:45,Grasshoppers,Basel,2.0,2.0,D,4.95,3.88,1.62
SWZ,1213,28/07/2012,18:45,St. Gallen,Zurich,3.0,1.0,H,2.79,3.23,2.42
SWZ,1213,29/07/2012,12:45,Lausanne,Servette,5.0,1.0,H,2.67,3.13,2.58
SWZ,1213,29/07/2012,12:45,Young Boys,Thun,3.0,0.0,H,1.75,3.59,4.37
SWZ,1213,29/07/2012,15:00,Luzern,Sion,0.0,3.0,A,2.09,3.24,3.4
SWZ,1213,04/08/2012,18:45,Sion,Basel,1.0,1.0,D,2.67,3.27,2.5
SWZ,1213,04/08/2012,18:45,St. Gallen,Grasshoppers,1.0,1.0,D,2.25,3.27,3.02
SWZ,1213,05/08/2012,12:45,Thun,Luzern,2.0,1.0,H,2.8,3.19,2.43
SWZ,1213,05/08/2012,12:45,Zurich,Lausanne,4.0,0.0,H,1.57,3.78,5.53
SWZ,1213,05/08/2012,15:00,Servette,Young Boys,1.0,1.0,D,3.34,3.33,2.07
SWZ,1213,11/08/2012,18:45,Lausanne,Sion,0.0,2.0,A,4.37,3.49,1.77
SWZ,1213,11/08/2012,18:45,Luzern,St. Gallen,1.0,1.0,D,1.74,3.58,4.45
SWZ,1213,12/08/2012,12:45,Grasshoppers,Servette,1.0,0.0,H,1.92,3.43,3.75
SWZ,1213,12/08/2012,12:45,Young Boys,Zurich,4.0,1.0,H,1.95,3.37,3.64
SWZ,1213,12/08/2012,15:00,Basel,Thun,3.0,1.0,H,1.48,4.11,6.24
SWZ,1213,18/08/2012,18:45,Basel,Lausanne,2.0,0.0,H,1.23,5.75,11.22
SWZ,1213,18/08/2012,18:45,Thun,St. Gallen,0.0,1.0,A,2.31,3.18,3.0
SWZ,1213,19/08/2012,12:45,Servette,Zurich,1.0,1.0,D,3.33,3.28,2.11
SWZ,1213,19/08/2012,12:45,Sion,Young Boys,1.0,0.0,H,2.28,3.22,3.03
SWZ,1213,19/08/2012,15:00,Luzern,Grasshoppers,0.0,2.0,A,1.92,3.43,3.72
SWZ,1213,25/08/2012,18:45,Grasshoppers,Thun,1.0,0.0,H,1.94,3.41,3.72
SWZ,1213,25/08/2012,18:45,St. Gallen,Basel,2.0,1.0,H,3.49,3.34,2.03
SWZ,1213,26/08/2012,12:45,Servette,Luzern,0.0,2.0,A,3.07,3.26,2.25
SWZ,1213,26/08/2012,12:45,Zurich,Sion,1.0,0.0,H,2.6,3.16,2.65
SWZ,1213,26/08/2012,15:00,Young Boys,Lausanne,0.0,0.0,D,1.36,4.63,7.91
SWZ,1213,01/09/2012,18:45,Lausanne,Grasshoppers,0.0,2.0,A,3.13,3.28,2.2
SWZ,1213,01/09/2012,18:45,Sion,St. Gallen,0.0,3.0,A,1.82,3.37,4.34
SWZ,1213,02/09/2012,12:45,Luzern,Young Boys,1.0,2.0,A,2.74,3.25,2.47
SWZ,1213,02/09/2012,12:45,Thun,Servette,3.0,0.0,H,1.87,3.37,4.07
SWZ,1213,02/09/2012,15:00,Basel,Zurich,0.0,0.0,D,1.63,3.78,5.0
SWZ,1213,22/09/2012,18:45,Sion,Thun,2.0,1.0,H,1.78,3.38,4.57
SWZ,1213,22/09/2012,18:45,Zurich,Grasshoppers,0.0,1.0,A,2.22,3.29,3.08
SWZ,1213,23/09/2012,12:45,Lausanne,Luzern,1.0,0.0,H,3.45,3.34,2.05
SWZ,1213,23/09/2012,12:45,St. Gallen,Servette,2.0,0.0,H,1.55,3.95,5.61
SWZ,1213,23/09/2012,15:15,Young Boys,Basel,1.0,1.0,D,2.35,3.34,2.81
SWZ,1213,26/09/2012,18:45,Servette,Lausanne,0.0,1.0,A,2.42,3.21,2.86
SWZ,1213,26/09/2012,18:45,Zurich,St. Gallen,0.0,2.0,A,2.08,3.36,3.34
SWZ,1213,26/09/2012,19:30,Basel,Sion,4.0,1.0,H,1.72,3.55,4.63
SWZ,1213,27/09/2012,18:45,Grasshoppers,Luzern,2.0,0.0,H,2.01,3.34,3.55
SWZ,1213,27/09/2012,18:45,Thun,Young Boys,2.0,1.0,H,3.57,3.4,1.99
SWZ,1213,29/09/2012,18:45,Lausanne,Basel,1.0,1.0,D,6.04,3.99,1.51
SWZ,1213,30/09/2012,12:45,Luzern,Thun,2.0,1.0,H,2.22,3.25,3.14
SWZ,1213,30/09/2012,12:45,Young Boys,Servette,6.0,2.0,H,1.33,4.87,8.45
SWZ,1213,30/09/2012,15:00,Sion,Zurich,2.0,2.0,D,2.27,3.19,3.13
SWZ,1213,01/10/2012,18:45,Grasshoppers,St. Gallen,1.0,0.0,H,2.13,3.27,3.29
SWZ,1213,06/10/2012,18:45,St. Gallen,Lausanne,2.0,1.0,H,1.55,3.9,5.75
SWZ,1213,06/10/2012,18:45,Thun,Grasshoppers,2.0,3.0,A,2.56,3.24,2.66
SWZ,1213,07/10/2012,12:45,Sion,Luzern,3.0,2.0,H,2.06,3.26,3.52
SWZ,1213,07/10/2012,12:45,Zurich,Young Boys,1.0,1.0,D,2.41,3.31,2.77
SWZ,1213,07/10/2012,15:00,Basel,Servette,3.0,2.0,H,1.26,5.53,10.17
SWZ,1213,20/10/2012,18:45,Servette,St. Gallen,1.0,1.0,D,3.46,3.31,2.05
SWZ,1213,20/10/2012,18:45,Thun,Sion,1.0,1.0,D,2.39,3.23,2.86
SWZ,1213,21/10/2012,12:45,Lausanne,Zurich,0.0,2.0,A,3.2,3.27,2.17
SWZ,1213,21/10/2012,12:45,Luzern,Basel,1.0,0.0,H,3.57,3.39,1.98
SWZ,1213,21/10/2012,15:00,Grasshoppers,Young Boys,3.0,2.0,H,2.59,3.19,2.63
SWZ,1213,27/10/2012,18:45,Sion,Lausanne,1.0,1.0,D,1.71,3.55,4.81
SWZ,1213,28/10/2012,12:45,Servette,Grasshoppers,2.0,0.0,H,3.66,3.36,1.97
SWZ,1213,28/10/2012,13:30,St. Gallen,Thun,1.0,0.0,H,2.11,3.23,3.4
SWZ,1213,28/10/2012,15:00,Zurich,Basel,1.0,2.0,A,2.66,3.29,2.51
SWZ,1213,03/11/2012,18:45,Basel,Young Boys,2.0,0.0,H,1.94,3.48,3.68
SWZ,1213,03/11/2012,18:45,Grasshoppers,Lausanne,1.0,1.0,D,1.57,3.81,5.66
SWZ,1213,04/11/2012,12:45,Luzern,Servette,1.0,1.0,D,1.66,3.72,4.81
SWZ,1213,04/11/2012,12:45,Thun,Zurich,1.0,4.0,A,2.45,3.18,2.8
SWZ,1213,04/11/2012,15:00,St. Gallen,Sion,0.0,3.0,A,2.17,3.26,3.22
SWZ,1213,17/11/2012,18:45,Lausanne,Thun,3.0,0.0,H,2.72,3.18,2.54
SWZ,1213,17/11/2012,18:45,Zurich,Luzern,0.0,2.0,A,1.85,3.51,3.95
SWZ,1213,18/11/2012,12:45,Servette,Sion,0.0,2.0,A,3.03,3.22,2.29
SWZ,1213,18/11/2012,12:45,Young Boys,St. Gallen,0.0,0.0,D,1.76,3.57,4.38
SWZ,1213,18/11/2012,15:00,Basel,Grasshoppers,4.0,0.0,H,1.68,3.77,4.62
SWZ,1213,24/11/2012,18:45,Sion,Grasshoppers,1.0,1.0,D,2.31,3.2,3.02
SWZ,1213,24/11/2012,18:45,Zurich,Servette,0.0,2.0,A,1.54,3.91,5.92
SWZ,1213,25/11/2012,12:45,Lausanne,Young Boys,2.0,1.0,H,3.29,3.34,2.13
SWZ,1213,25/11/2012,12:45,St. Gallen,Luzern,1.0,1.0,D,2.11,3.35,3.27
