Div,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA
USA,2012,10/03/2012,23:00,Colorado Rapids,Columbus Crew,2.0,0.0,H,2.01,3.19,3.65
USA,2012,10/03/2012,23:00,Vancouver Whitecaps,CF Montreal,2.0,0.0,H,1.97,3.27,3.7
USA,2012,11/03/2012,00:30,DC United,Sporting Kansas City,0.0,1.0,A,2.46,3.11,2.81
USA,2012,11/03/2012,03:30,Los Angeles Galaxy,Real Salt Lake,1.0,3.0,A,1.81,3.33,4.31
USA,2012,11/03/2012,03:30,San Jose Earthquakes,New England Revolution,1.0,0.0,H,1.82,3.36,4.23
USA,2012,11/03/2012,19:00,FC Dallas,New York Red Bulls,2.0,1.0,H,2.2,3.18,3.17
USA,2012,11/03/2012,23:00,Chivas USA,Houston Dynamo,0.0,1.0,A,2.46,3.08,2.85
USA,2012,13/03/2012,01:30,Portland Timbers,Philadelphia Union,3.0,1.0,H,2.12,3.16,3.4
USA,2012,17/03/2012,18:00,CF Montreal,Chicago Fire,1.0,1.0,D,2.63,3.07,2.63
USA,2012,17/03/2012,21:00,San Jose Earthquakes,Houston Dynamo,0.0,1.0,A,2.39,3.19,2.82
USA,2012,18/03/2012,00:30,FC Dallas,Portland Timbers,1.0,1.0,D,2.06,3.17,3.64
USA,2012,18/03/2012,00:30,Sporting Kansas City,New England Revolution,3.0,0.0,H,1.51,3.74,6.68
USA,2012,18/03/2012,02:00,Real Salt Lake,New York Red Bulls,2.0,0.0,H,1.93,3.28,3.84
USA,2012,18/03/2012,02:00,Seattle Sounders,Toronto FC,3.0,1.0,H,1.58,3.59,5.9
USA,2012,18/03/2012,02:30,Chivas USA,Vancouver Whitecaps,0.0,1.0,A,2.22,3.17,3.17
USA,2012,18/03/2012,20:00,Philadelphia Union,Colorado Rapids,1.0,2.0,A,2.23,3.12,3.22
USA,2012,18/03/2012,23:00,Los Angeles Galaxy,DC United,3.0,1.0,H,1.56,3.69,5.95
USA,2012,24/03/2012,02:00,Seattle Sounders,Houston Dynamo,2.0,0.0,H,1.87,3.34,4.05
USA,2012,24/03/2012,17:00,Toronto FC,San Jose Earthquakes,0.0,3.0,A,2.35,3.08,3.02
USA,2012,24/03/2012,20:00,Columbus Crew,CF Montreal,2.0,0.0,H,1.65,3.48,5.28
