Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
B1,25/05/2024,19:30,Gent,St Truiden,,,,,,,1.5,4.5,5.25,1.52,4.8,5.25,,,,1.52,4.74,5.3,1.5,4.6,5.5,1.5,4.4,5.25,1.55,4.9,5.8,1.51,4.63,5.26,1.4,2.88,1.41,2.93,1.42,3,1.39,2.87,-1,1.83,2.03,1.84,2.02,1.85,2.11,1.81,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,25/05/2024,19:30,Mechelen,Standard,,,,,,,1.85,3.7,3.8,1.88,3.9,3.75,,,,1.88,3.89,3.79,1.85,3.9,3.6,1.83,3.75,3.6,1.92,3.98,3.87,1.86,3.81,3.71,1.57,2.35,1.62,2.33,1.62,2.48,1.58,2.33,-0.5,1.9,1.95,1.89,1.96,1.94,2,1.87,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,25/05/2024,19:30,Oud-Heverlee Leuven,Westerlo,,,,,,,2.05,3.7,3.2,2.05,3.8,3.2,,,,2.07,3.74,3.32,2.05,3.8,3.1,2,3.75,3.1,2.14,3.97,3.4,2.04,3.74,3.22,1.5,2.5,1.52,2.53,1.52,2.6,1.5,2.5,-0.5,2.05,1.75,2.07,1.78,2.14,1.83,2.04,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,26/05/2024,17:30,Antwerp,Anderlecht,,,,,,,3.75,3.5,1.75,4,3.8,1.83,,,,3.94,4,1.82,4,4,1.75,3.9,3.6,1.8,4.08,4.1,1.88,3.88,3.81,1.82,1.73,2.08,1.75,2.1,1.77,2.14,1.73,2.07,0.5,2,1.85,2.03,1.83,2.05,1.89,1.97,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,26/05/2024,17:30,Club Brugge,Cercle Brugge,,,,,,,1.5,4.33,5,1.53,4.5,5.5,,,,1.51,4.56,5.74,1.5,4.5,5.5,1.5,4.33,5.25,1.53,4.75,5.9,1.51,4.48,5.5,1.5,2.5,1.53,2.55,1.53,2.63,1.51,2.48,-1,1.85,2,1.84,2.02,1.92,2.03,1.82,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,26/05/2024,17:30,St. Gilloise,Genk,,,,,,,1.65,3.8,4.5,1.73,4,4.4,,,,1.67,4.15,4.66,1.67,4,4.4,1.65,3.9,4.4,1.73,4.3,4.75,1.68,4,4.5,1.57,2.35,1.61,2.35,1.61,2.38,1.58,2.31,-0.75,1.85,2,1.85,2,1.95,2,1.85,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I1,23/05/2024,19:45,Cagliari,Fiorentina,,,,,,,4.2,3.75,1.8,4.1,3.8,1.82,,,,4.42,3.85,1.84,4.2,3.8,1.8,4.5,3.6,1.8,4.5,3.95,1.87,4.31,3.8,1.82,1.73,2.1,1.74,2.2,1.77,2.25,1.71,2.17,0.5,2.08,1.85,2.09,1.85,2.09,1.85,2.04,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I1,24/05/2024,19:45,Genoa,Bologna,,,,,,,3.4,3.4,2.15,3.4,3.2,2.2,,,,3.52,3.33,2.2,3.4,3.25,2.2,3.6,3.1,2.2,3.6,3.5,2.26,3.45,3.31,2.21,2.2,1.67,2.25,1.68,2.29,1.74,2.23,1.68,0.25,2.02,1.88,2,1.89,2.05,1.91,1.97,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I1,25/05/2024,17:00,Juventus,Monza,,,,,,,1.33,5.5,8.5,1.35,5.25,8.25,,,,1.33,5.57,8.68,1.3,5.5,9,1.25,5,10,1.36,5.8,10,1.33,5.45,8.86,1.62,2.3,1.62,2.37,1.66,2.42,1.61,2.33,-1.5,1.97,1.93,1.97,1.92,1.99,1.95,1.94,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I1,25/05/2024,19:45,Milan,Salernitana,,,,,,,1.18,8,12,1.19,7.75,13,,,,1.17,8.69,13.1,1.14,8.5,15,1.11,7.5,15,1.19,9.2,16,1.17,8.34,13.58,1.25,4,1.34,3.47,1.33,4.1,1.26,3.78,-2.25,1.98,1.92,1.95,1.92,2,1.97,1.94,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
