Country,League,Date,Time,Home,Away,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Argentina,Liga Profesional,24/05/2024,19:30,Dep. Riestra,Rosario Central,2.44,2.97,3.44,2.5,3.05,3.45,2.39,2.97,3.26
Argentina,Liga Profesional,24/05/2024,23:00,Tigre,Racing Club,4.52,3.54,1.86,4.75,3.62,1.86,4.36,3.49,1.83
Argentina,Liga Profesional,25/05/2024,01:15,Belgrano,Central Cordoba,1.83,3.43,4.92,1.86,3.46,5,1.81,3.36,4.7
Argentina,Liga Profesional,25/05/2024,01:15,Lanus,Estudiantes L.P.,2.66,2.99,3.05,2.67,3.04,3.06,2.58,2.97,2.95
Argentina,Liga Profesional,25/05/2024,19:30,Argentinos Jrs,River Plate,3.85,3.43,2,3.93,3.48,2.05,3.75,3.37,1.99
Argentina,Liga Profesional,25/05/2024,21:30,Godoy Cruz,San Lorenzo,2.05,3,4.33,2.17,3.1,4.4,2.05,2.97,4.13
Argentina,Liga Profesional,25/05/2024,21:30,Newells Old Boys,Defensa y Justicia,1.96,3.32,4.14,2.05,3.37,4.2,1.98,3.23,3.98
Argentina,Liga Profesional,26/05/2024,00:00,Boca Juniors,Talleres Cordoba,2.16,3.02,3.89,2.19,3.28,3.94,2.12,3.07,3.71
Argentina,Liga Profesional,26/05/2024,19:30,Huracan,Instituto,2.21,2.94,3.87,2.25,3.05,3.95,2.16,2.97,3.7
Argentina,Liga Profesional,26/05/2024,21:30,Sarmiento Junin,Ind. Rivadavia,2.37,2.82,3.64,2.48,2.92,3.7,2.34,2.81,3.52
Argentina,Liga Profesional,26/05/2024,21:45,Gimnasia L.P.,Banfield,2.27,3,3.62,2.29,3.18,3.75,2.2,3.05,3.51
Argentina,Liga Profesional,27/05/2024,00:00,Independiente,Velez Sarsfield,2.36,2.84,3.66,2.38,3,3.69,2.31,2.9,3.46
Argentina,Liga Profesional,27/05/2024,23:00,Union de Santa Fe,Barracas Central,2,3.13,4.3,2.05,3.25,4.35,1.97,3.13,4.15
Argentina,Liga Profesional,28/05/2024,01:00,Atl. Tucuman,Platense,2.08,3.01,4.22,2.15,3.13,4.33,2.06,2.97,4.04
Austria,Bundesliga,24/05/2024,18:30,Austria Vienna,Hartberg,1.8,4.06,4.28,1.82,4.11,4.33,1.76,3.95,4.01
China,Super League,25/05/2024,12:35,Shandong Taishan,Zhejiang Professional,1.98,3.93,3.42,2,4.01,3.6,1.94,3.77,3.36
China,Super League,25/05/2024,13:00,Wuhan Three Towns,Meizhou Hakka,1.5,4.33,6.37,1.55,4.42,7,1.5,4.13,6.03
China,Super League,26/05/2024,11:00,Shenzhen Xinpengcheng,Shanghai Shenhua,7.73,4.93,1.36,8,5.05,1.4,7.47,4.77,1.35
China,Super League,26/05/2024,12:00,Beijing Guoan,Nantong Zhiyun,1.33,5.07,8.19,1.36,5.5,9,1.32,5.01,7.96
China,Super League,26/05/2024,12:00,Qingdao Hainiu,Tianjin Jinmen Tiger,3.4,3.45,2.09,3.43,3.6,2.11,3.27,3.4,2.05
China,Super League,26/05/2024,12:35,Changchun Yatai,Henan Songshan Longmen,2.23,3.46,3.09,2.27,3.5,3.2,2.18,3.38,3.01
China,Super League,26/05/2024,12:35,Chengdu Rongcheng,Qingdao West Coast,1.23,6.1,10.1,1.26,6.29,13,1.23,5.66,10.26
China,Super League,26/05/2024,13:00,Shanghai Port,Cangzhou,1.08,10.33,15.48,1.11,12.1,26,1.09,9.38,18.91
Denmark,Superliga,25/05/2024,14:00,Hvidovre IF,Lyngby,3.49,3.49,2.1,3.52,3.65,2.1,3.36,3.54,2.05
