Div,Date,Time,Team_ID,Opp_ID,Ref_ID,FTR,FTR2,team_hist_vs,AvgH,AvgD,AvgA
5,20190726,1900,0,118,54,0,0,0.0,2.93,2.88,2.63
5,20190726,1900,50,230,54,1,1,0.0,2.48,3.05,2.96
5,20190726,1900,56,52,54,1,1,0.0,1.8,3.41,4.56
5,20190726,1900,95,93,54,0,0,0.0,1.73,3.42,5.05
5,20190726,1900,153,164,54,0,0,0.0,2.18,3.08,3.5
5,20190726,1900,159,226,54,0,2,0.0,3.15,3.06,2.36
5,20190726,1900,192,18,54,1,1,0.0,2.84,2.92,2.68
5,20190726,1900,205,43,54,0,0,0.0,2.92,2.84,2.68
1,20190726,1930,216,97,54,1,1,0.0,1.74,3.85,4.41
1,20190727,1200,68,163,54,0,2,0.0,2.88,3.25,2.44
5,20190727,1400,119,125,54,0,2,0.0,3.03,2.96,2.48
1,20190727,1430,102,198,54,0,0,0.0,2.06,3.54,3.37
1,20190727,1430,166,99,54,0,2,0.0,2.53,3.16,2.82
1,20190728,1230,96,64,54,0,0,0.0,1.71,3.54,4.98
1,20190728,1430,94,76,54,0,2,0.0,2.2,3.25,3.3
1,20190728,1430,187,30,54,1,1,0.0,2.34,3.4,2.9
1,20190728,1430,240,113,54,0,2,0.0,2.4,3.27,2.91
1,20190729,1930,26,213,54,0,0,0.0,2.21,3.37,3.14
5,20190729,1945,132,170,54,1,1,0.0,2.05,3.02,3.96
1,20190802,1730,30,26,54,0,0,0.0,2.7,3.44,2.48
1,20190802,1730,198,166,54,0,2,0.0,2.01,3.34,3.73
5,20190802,1900,18,119,54,1,1,0.0,1.81,3.37,4.59
5,20190802,1900,52,192,54,0,0,0.0,2.91,2.92,2.62
5,20190802,1900,93,0,54,0,2,0.0,2.14,3.08,3.63
5,20190802,1900,118,159,54,0,0,0.0,1.73,3.38,5.19
5,20190802,1900,164,50,54,0,2,0.0,2.14,3.04,3.7
5,20190802,1900,170,205,54,0,0,0.0,2.16,2.8,4.04
5,20190802,1900,226,56,54,0,2,0.0,2.47,3.01,3.02
5,20190802,1900,230,153,54,0,0,0.0,2.68,3.02,2.74
1,20190802,1930,213,94,54,0,2,0.0,2.09,3.34,3.49
3,20190802,1945,134,145,35,0,0,0.0,2.32,3.28,3.19
1,20190803,1200,113,68,54,1,1,0.0,2.09,3.39,3.43
1,20190803,1430,97,187,54,0,0,0.0,1.97,3.5,3.69
3,20190803,1500,21,88,45,1,1,0.0,3.3,3.45,2.17
3,20190803,1500,28,51,56,0,2,0.0,1.8,3.64,4.48
3,20190803,1500,35,27,30,0,2,0.0,1.72,3.75,4.92
3,20190803,1500,147,181,39,1,1,0.0,2.58,3.17,2.84
3,20190803,1500,185,204,34,0,2,0.0,2.56,3.19,2.86
3,20190803,1500,214,182,10,0,2,0.0,1.8,3.51,4.69
3,20190803,1500,219,105,5,1,1,0.0,2.03,3.45,3.7
3,20190803,1500,244,45,29,1,1,0.0,2.99,3.19,2.46
5,20190803,1530,125,95,54,1,1,0.0,2.2,3.01,3.54
3,20190803,1730,161,242,17,0,2,0.0,2.42,3.29,2.97
1,20190804,1230,99,216,54,0,0,0.0,3.42,3.4,2.09
1,20190804,1430,64,102,54,1,1,0.0,2.45,3.46,2.71
1,20190804,1430,76,240,54,1,1,0.0,2.19,3.24,3.34
3,20190804,1630,39,122,12,0,2,0.0,3.02,3.32,2.36
1,20190805,1930,163,96,54,0,2,0.0,2.53,3.25,2.75
3,20190805,1945,103,65,36,0,2,0.0,2.19,3.34,3.35
5,20190805,1945,43,132,54,0,2,0.0,2.32,2.92,3.36
5,20190809,1900,0,43,54,0,2,0.0,2.56,2.91,2.97
5,20190809,1900,50,93,54,0,0,0.0,2.54,2.86,3.06
5,20190809,1900,95,164,54,1,1,0.0,1.84,3.19,4.69
5,20190809,1900,119,230,54,0,2,0.0,2.37,3.0,3.16
5,20190809,1900,153,132,54,0,0,0.0,3.07,3.01,2.41
5,20190809,1900,159,52,54,1,1,0.0,2.15,2.97,3.72
5,20190809,1900,192,170,54,1,1,0.0,2.59,2.75,3.11
5,20190809,1900,205,18,54,1,1,0.0,2.92,2.99,2.54
5,20190809,1900,226,118,54,0,2,0.0,2.26,2.99,3.4
4,20190809,1945,150,135,54,0,2,0.0,2.89,3.4,2.43
2,20190809,2000,129,160,1,1,1,0.0,1.14,8.75,19.83
2,20190810,1230,243,141,59,0,2,0.0,11.84,6.28,1.25
3,20190810,1230,122,161,7,0,0,0.0,1.5,4.18,6.67
5,20190810,1400,56,125,54,0,0,0.0,2.39,2.9,3.23
2,20190810,1500,33,203,61,0,0,0.0,2.01,3.53,3.83
2,20190810,1500,41,208,21,1,1,0.0,2.68,3.22,2.78
2,20190810,1500,63,78,58,0,0,0.0,3.13,3.27,2.4
2,20190810,1500,239,38,0,0,2,0.0,1.94,3.41,4.26
3,20190810,1500,27,39,35,0,0,0.0,2.59,3.18,2.8
3,20190810,1500,45,134,10,1,1,0.0,1.88,3.45,4.3
3,20190810,1500,51,214,9,1,1,0.0,3.31,3.35,2.19
3,20190810,1500,65,219,15,0,0,0.0,2.23,3.31,3.27
3,20190810,1500,88,28,31,1,1,0.0,1.76,3.86,4.41
3,20190810,1500,105,185,32,1,1,0.0,2.06,3.49,3.52
3,20190810,1500,145,35,39,0,2,0.0,2.4,3.32,2.94
3,20190810,1500,181,244,37,1,1,0.0,2.15,3.29,3.48
3,20190810,1500,182,103,28,0,0,0.0,2.67,3.23,2.68
3,20190810,1500,204,21,19,1,1,0.0,2.22,3.28,3.32
3,20190810,1500,242,147,29,0,0,0.0,1.9,3.48,4.1
4,20190810,1630,143,190,54,0,2,0.0,1.65,3.71,5.67
2,20190810,1730,223,13,20,1,1,0.0,1.3,5.53,10.51
4,20190810,1900,9,32,54,1,1,0.0,2.35,3.14,3.24
4,20190810,1900,37,224,54,0,0,0.0,2.38,3.23,3.09
4,20190810,1900,66,212,54,0,2,0.0,3.57,3.34,2.11
4,20190810,1900,151,191,54,0,2,0.0,2.3,3.18,3.3
4,20190810,1900,157,6,54,1,1,0.0,2.18,2.98,3.87
2,20190811,1400,124,246,55,0,0,0.0,2.22,3.28,3.48
2,20190811,1400,156,11,60,0,2,0.0,4.49,3.82,1.79
4,20190811,1400,128,154,54,1,1,0.0,1.95,3.19,4.43
4,20190811,1600,215,144,54,0,0,0.0,2.05,3.23,3.9
2,20190811,1630,142,53,8,1,1,0.0,2.19,3.32,3.49
4,20190811,2000,171,158,54,1,1,0.0,1.1,9.77,23.32
1,20190816,1730,96,30,54,1,1,0.0,1.48,4.36,6.36
1,20190816,1730,198,163,54,1,1,0.0,2.64,3.14,2.73
5,20190816,1900,43,50,54,0,0,0.0,2.7,2.85,2.89
5,20190816,1900,52,0,54,0,2,0.0,3.12,2.87,2.5
5,20190816,1900,93,226,54,0,0,0.0,2.64,2.88,2.92
5,20190816,1900,132,205,54,1,1,0.0,1.65,3.38,6.03
5,20190816,1900,153,119,54,1,1,0.0,1.93,3.23,4.17
5,20190816,1900,164,56,54,0,2,0.0,3.23,2.93,2.4
5,20190816,1900,170,159,54,0,2,0.0,2.06,2.91,4.22
5,20190816,1900,230,192,54,1,1,0.0,2.92,3.02,2.54
0,20190816,1930,23,100,54,0,0,0.0,1.18,7.55,15.04
3,20190816,1945,103,88,34,0,2,0.0,3.25,3.29,2.28
4,20190816,1945,135,9,54,1,1,0.0,1.5,4.45,6.4
8,20190816,2000,15,19,54,1,1,0.0,5.07,3.81,1.71
1,20190817,1200,26,76,54,1,1,0.0,1.7,3.78,4.75
1,20190817,1200,216,213,54,1,1,0.0,1.48,4.39,6.25
1,20190817,1200,240,97,54,0,2,0.0,2.91,3.34,2.37
2,20190817,1230,11,41,59,1,1,0.0,1.33,5.49,9.48
5,20190817,1400,125,118,54,0,2,0.0,1.99,3.07,4.14
0,20190817,1430,67,17,54,1,1,0.0,1.22,6.62,13.38
0,20190817,1430,85,138,54,1,1,0.0,2.2,3.37,3.36
0,20190817,1430,127,168,54,1,1,0.0,1.28,5.97,10.27
0,20190817,1430,241,84,54,0,2,0.0,1.74,3.93,4.57
0,20190817,1430,245,80,54,1,1,0.0,1.91,3.74,3.91
2,20190817,1500,13,33,60,0,2,0.0,2.33,3.49,3.08
2,20190817,1500,38,243,8,0,0,0.0,2.52,3.33,2.9
2,20190817,1500,78,239,64,1,1,0.0,1.73,3.9,4.86
2,20190817,1500,160,156,4,1,1,0.0,2.23,3.38,3.38
2,20190817,1500,208,129,55,0,2,0.0,6.77,4.67,1.47
3,20190817,1500,21,51,32,0,0,0.0,2.01,3.46,3.74
3,20190817,1500,28,145,15,1,1,0.0,2.43,3.22,3.01
3,20190817,1500,35,105,17,0,0,0.0,1.68,3.97,4.86
3,20190817,1500,39,182,7,1,1,0.0,2.07,3.33,3.73
3,20190817,1500,134,242,56,0,2,0.0,2.69,3.38,2.6
3,20190817,1500,147,204,30,1,1,0.0,2.55,3.07,2.97
3,20190817,1500,161,27,19,1,1,0.0,2.02,3.28,3.92
3,20190817,1500,214,65,12,0,0,0.0,2.29,3.16,3.34
3,20190817,1500,219,181,28,1,1,0.0,2.29,3.32,3.18
3,20190817,1500,244,122,6,0,2,0.0,4.29,3.56,1.86
8,20190817,1600,49,186,54,0,2,0.0,4.67,4.12,1.69
4,20190817,1630,154,143,54,0,0,0.0,2.58,3.16,2.88
9,20190817,1700,133,79,54,0,0,0.0,2.45,3.09,2.95
9,20190817,1700,199,139,54,0,2,0.0,2.86,2.88,2.68
2,20190817,1730,141,223,1,0,0,0.0,1.36,5.32,8.46
0,20190817,1730,136,201,54,0,0,0.0,2.06,3.49,3.6
8,20190817,1800,229,206,54,0,0,0.0,1.68,3.8,5.29
9,20190817,1800,5,2,54,1,1,0.0,2.35,3.03,3.18
4,20190817,1900,6,128,54,1,1,0.0,3.25,3.09,2.38
4,20190817,1900,32,151,54,0,0,0.0,2.7,2.98,2.9
4,20190817,1900,144,150,54,1,1,0.0,2.98,3.1,2.55
4,20190817,1900,158,157,54,0,2,0.0,2.16,3.33,3.46
4,20190817,1900,224,66,54,1,1,0.0,2.0,3.42,3.87
8,20190817,1900,140,70,54,1,1,0.0,2.91,3.09,2.62
9,20190817,1900,72,87,54,0,2,0.0,1.98,3.1,4.15
8,20190817,2000,123,165,54,0,2,0.0,2.06,3.18,4.02
8,20190817,2000,236,92,54,0,0,0.0,1.61,3.95,5.8
9,20190817,2000,232,148,54,0,0,0.0,1.51,3.89,6.7
9,20190817,2000,249,220,54,1,1,0.0,1.95,3.28,4.0
3,20190818,1200,185,45,45,1,1,0.0,3.41,3.29,2.19
1,20190818,1230,68,99,54,1,1,0.0,2.7,3.31,2.54
1,20190818,1230,94,187,54,1,1,0.0,2.55,3.32,2.69
1,20190818,1230,102,113,54,1,1,0.0,2.09,3.57,3.25
2,20190818,1400,203,63,3,1,1,0.0,2.57,3.19,2.95
4,20190818,1400,212,37,54,0,0,0.0,1.63,3.9,5.49
0,20190818,1430,71,101,54,1,1,0.0,2.32,3.65,2.92
