Div,Season,Date,Time,DayOTW,Team_ID,Opp_ID,Ref_ID,FTR,FTR2,team_elo,opp_elo,team_hist_vs,opp_hist_vs,team_points,opp_points,team_form,opp_form,team_avg_goals_for,team_avg_goals_against,opp_avg_goals_for,opp_avg_goals_against,team_shots,opp_shots,team_shots_target,opp_shots_target,team_avg_games,opp_avg_games,AvgH,AvgD,AvgA
1,1920,20190726,19,4,216,97,55,0,0,1549,1368,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,3.85,4.41
5,1920,20190726,19,4,0,118,55,1,1,1513,1399,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.93,2.88,2.63
5,1920,20190726,19,4,50,230,55,0,0,1488,1348,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48,3.05,2.96
5,1920,20190726,19,4,56,52,55,0,0,1615,1270,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,3.41,4.56
5,1920,20190726,19,4,95,93,55,1,1,1554,1465,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,3.42,5.05
5,1920,20190726,19,4,153,164,55,1,1,1496,1495,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,3.08,3.5
5,1920,20190726,19,4,159,226,55,2,2,1424,1528,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15,3.06,2.36
5,1920,20190726,19,4,192,18,55,0,0,1505,1482,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.84,2.92,2.68
5,1920,20190726,19,4,205,43,55,1,1,1505,1353,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92,2.84,2.68
1,1920,20190727,12,5,68,163,55,2,2,1466,1458,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88,3.25,2.44
1,1920,20190727,14,5,102,198,55,1,1,1595,1364,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06,3.54,3.37
1,1920,20190727,14,5,166,99,55,2,2,1414,1462,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.53,3.16,2.82
5,1920,20190727,14,5,119,125,55,2,2,1585,1523,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,2.96,2.48
1,1920,20190728,12,6,96,64,55,1,1,1597,1511,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71,3.54,4.98
1,1920,20190728,14,6,94,76,55,2,2,1596,1401,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,3.25,3.3
1,1920,20190728,14,6,187,30,55,0,0,1482,1507,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34,3.4,2.9
1,1920,20190728,14,6,240,113,55,2,2,1499,1483,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,3.27,2.91
1,1920,20190729,19,0,26,213,55,1,1,1495,1453,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21,3.37,3.14
5,1920,20190729,19,0,132,170,55,0,0,1541,1488,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,3.02,3.96
1,1920,20190802,17,4,30,26,55,1,1,1602,1399,0.0,0.0,0,1,0.0,1.0,3.0,1.0,1.0,1.0,16.0,22.0,4.0,5.0,1.0,1.0,2.7,3.44,2.48
1,1920,20190802,17,4,198,166,55,2,2,1446,1331,0.0,0.0,1,3,1.0,0.0,1.0,1.0,3.0,1.0,15.0,9.0,3.0,2.0,1.0,1.0,2.01,3.34,3.73
3,1920,20190802,19,4,134,145,35,1,1,1491,1370,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,3.28,3.19
1,1920,20190802,19,4,213,94,55,2,2,1539,1509,0.0,0.0,1,3,1.0,0.0,1.0,1.0,2.0,0.0,5.0,23.0,3.0,7.0,1.0,1.0,2.09,3.34,3.49
5,1920,20190802,19,4,18,119,55,0,0,1597,1469,0.0,0.0,0,3,0.0,0.0,2.0,0.0,2.0,1.0,17.0,21.0,4.0,4.0,1.0,1.0,1.81,3.37,4.59
5,1920,20190802,19,4,52,192,55,1,1,1375,1399,0.0,0.0,0,0,0.0,3.0,3.0,0.0,0.0,2.0,11.0,10.0,5.0,3.0,1.0,1.0,2.91,2.92,2.62
5,1920,20190802,19,4,93,0,55,2,2,1547,1430,0.0,0.0,1,1,1.0,1.0,3.0,3.0,2.0,2.0,5.0,12.0,3.0,4.0,1.0,1.0,2.14,3.08,3.63
5,1920,20190802,19,4,118,159,55,1,1,1495,1327,0.0,0.0,1,3,1.0,0.0,2.0,2.0,2.0,0.0,12.0,4.0,3.0,2.0,1.0,1.0,1.73,3.38,5.19
5,1920,20190802,19,4,164,50,55,2,2,1575,1407,0.0,0.0,1,0,1.0,3.0,0.0,0.0,0.0,1.0,6.0,14.0,3.0,5.0,1.0,1.0,2.14,3.04,3.7
5,1920,20190802,19,4,170,205,55,1,1,1584,1408,0.0,0.0,0,1,0.0,1.0,3.0,0.0,0.0,0.0,3.0,11.0,2.0,0.0,1.0,1.0,2.16,2.8,4.04
5,1920,20190802,19,4,226,56,55,2,2,1612,1530,0.0,0.0,3,0,3.0,3.0,0.0,2.0,0.0,3.0,14.0,11.0,5.0,7.0,1.0,1.0,2.47,3.01,3.02
5,1920,20190802,19,4,230,153,55,1,1,1450,1393,0.0,0.0,0,1,0.0,1.0,1.0,0.0,0.0,0.0,9.0,8.0,0.0,1.0,1.0,1.0,2.68,3.02,2.74
1,1920,20190803,12,5,113,68,55,0,0,1593,1355,0.0,0.0,3,3,3.0,0.0,1.0,2.0,1.0,0.0,12.0,16.0,4.0,3.0,1.0,1.0,2.09,3.39,3.43
1,1920,20190803,14,5,97,187,55,1,1,1468,1381,0.0,0.0,0,0,0.0,3.0,2.0,1.0,1.0,3.0,7.0,17.0,2.0,6.0,1.0,1.0,1.97,3.5,3.69
3,1920,20190803,15,5,21,88,45,0,0,1557,1351,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,3.45,2.17
3,1920,20190803,15,5,28,51,57,2,2,1443,1509,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,3.64,4.48
3,1920,20190803,15,5,35,27,30,2,2,1600,1360,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,3.75,4.92
3,1920,20190803,15,5,147,181,39,0,0,1503,1381,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58,3.17,2.84
3,1920,20190803,15,5,185,204,34,2,2,1464,1328,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,3.19,2.86
3,1920,20190803,15,5,214,182,10,2,2,1440,1443,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,3.51,4.69
3,1920,20190803,15,5,219,105,5,0,0,1537,1364,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,3.45,3.7
3,1920,20190803,15,5,244,45,29,0,0,1477,1398,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99,3.19,2.46
5,1920,20190803,15,5,125,95,55,0,0,1635,1441,0.0,0.0,3,1,3.0,1.0,1.0,2.0,3.0,3.0,14.0,22.0,5.0,8.0,1.0,1.0,2.2,3.01,3.54
3,1920,20190803,17,5,161,242,17,2,2,1455,1360,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,3.29,2.97
1,1920,20190804,12,6,99,216,55,1,1,1561,1449,0.0,0.0,3,0,3.0,3.0,1.0,3.0,1.0,2.0,9.0,14.0,6.0,7.0,1.0,1.0,3.42,3.4,2.09
1,1920,20190804,14,6,64,102,55,0,0,1625,1480,0.0,0.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,8.0,21.0,4.0,3.0,1.0,1.0,2.45,3.46,2.71
1,1920,20190804,14,6,76,240,55,0,0,1515,1384,0.0,0.0,3,3,3.0,0.0,0.0,2.0,2.0,1.0,12.0,16.0,7.0,4.0,1.0,1.0,2.19,3.24,3.34
3,1920,20190804,16,6,39,122,12,2,2,1347,1523,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.02,3.32,2.36
3,1920,20190805,19,0,103,65,36,2,2,1414,1293,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,3.34,3.35
1,1920,20190805,19,0,163,96,55,2,2,1544,1510,0.0,0.0,3,1,3.0,1.0,0.0,1.0,1.0,1.0,5.0,24.0,2.0,7.0,1.0,1.0,2.53,3.25,2.75
5,1920,20190805,19,0,43,132,55,2,2,1441,1452,0.0,0.0,1,0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,13.0,0.0,4.0,1.0,1.0,2.32,2.92,3.36
4,1920,20190809,19,4,150,135,55,2,2,1714,1614,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89,3.4,2.43
5,1920,20190809,19,4,0,43,55,2,2,1511,1359,0.0,0.0,4,4,3.44,0.44,1.0,1.5,1.0,0.5,11.44,5.22,4.56,2.22,1.0,1.0,2.56,2.91,2.97
5,1920,20190809,19,4,50,93,55,1,1,1508,1445,0.0,0.0,6,4,4.33,0.44,0.5,0.5,2.0,1.5,11.22,6.11,3.33,1.33,1.0,1.0,2.54,2.86,3.06
5,1920,20190809,19,4,95,164,55,0,0,1557,1458,0.0,0.0,1,4,0.44,0.44,2.5,1.5,0.5,0.0,16.44,11.0,4.67,3.56,1.0,1.0,1.84,3.19,4.69
5,1920,20190809,19,4,119,230,55,2,2,1549,1369,0.0,0.0,0,4,0.0,1.0,1.5,1.0,0.5,1.0,12.67,7.89,3.44,0.56,1.0,1.0,2.37,3.0,3.16
5,1920,20190809,19,4,153,132,55,1,1,1495,1449,0.0,0.0,2,0,1.44,4.33,0.5,0.5,1.0,2.0,14.11,9.11,4.89,2.89,1.0,1.0,3.07,3.01,2.41
5,1920,20190809,19,4,159,52,55,0,0,1439,1262,0.0,0.0,1,4,1.0,1.0,0.5,1.5,0.0,1.5,6.22,10.44,2.0,3.33,1.0,1.0,2.15,2.97,3.72
5,1920,20190809,19,4,192,170,55,0,0,1517,1465,0.0,0.0,4,4,2.33,1.0,1.0,0.0,0.5,2.0,10.0,6.33,1.33,2.0,1.0,1.0,2.59,2.75,3.11
5,1920,20190809,19,4,205,18,55,0,0,1526,1478,0.0,0.0,2,3,1.44,3.0,0.5,0.5,0.0,2.0,8.22,18.67,0.56,5.11,1.0,1.0,2.92,2.99,2.54
5,1920,20190809,19,4,226,118,55,2,2,1592,1414,0.0,0.0,3,2,1.33,1.44,0.5,2.0,1.5,1.5,11.78,13.11,3.89,3.56,1.0,1.0,2.26,2.99,3.4
2,1920,20190809,20,4,129,160,1,0,0,1738,1511,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,8.75,19.83
2,1920,20190810,12,5,243,141,60,2,2,1629,1718,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.84,6.28,1.25
3,1920,20190810,12,5,122,161,7,1,1,1616,1361,0.0,0.0,3,3,3.0,0.0,1.0,3.0,2.0,1.0,18.0,15.0,4.0,4.0,1.0,1.0,1.5,4.18,6.67
5,1920,20190810,14,5,56,125,55,1,1,1630,1534,0.0,0.0,6,0,4.33,4.33,2.0,1.0,1.0,1.5,8.78,14.0,5.89,5.56,1.0,1.0,2.39,2.9,3.23
2,1920,20190810,15,5,33,203,62,1,1,1545,1345,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01,3.53,3.83
2,1920,20190810,15,5,41,208,21,0,0,1506,1366,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68,3.22,2.78
2,1920,20190810,15,5,63,78,59,1,1,1521,1471,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.13,3.27,2.4
2,1920,20190810,15,5,239,38,0,2,2,1591,1471,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,3.41,4.26
3,1920,20190810,15,5,27,39,35,1,1,1455,1251,0.0,0.0,3,3,3.0,0.0,0.0,1.0,3.0,1.0,1.0,13.0,1.0,3.0,1.0,1.0,2.59,3.18,2.8
3,1920,20190810,15,5,45,134,10,0,0,1512,1376,0.0,0.0,0,1,0.0,1.0,3.0,2.0,3.0,3.0,13.0,12.0,4.0,4.0,1.0,1.0,1.88,3.45,4.3
3,1920,20190810,15,5,51,214,9,0,0,1617,1331,0.0,0.0,3,3,3.0,0.0,1.0,2.0,2.0,1.0,9.0,13.0,5.0,1.0,1.0,1.0,3.31,3.35,2.19
3,1920,20190810,15,5,65,219,15,1,1,1398,1431,0.0,0.0,3,0,3.0,3.0,1.0,2.0,1.0,2.0,11.0,19.0,3.0,8.0,1.0,1.0,2.23,3.31,3.27
3,1920,20190810,15,5,88,28,31,0,0,1465,1328,0.0,0.0,0,3,0.0,0.0,1.0,0.0,2.0,1.0,15.0,14.0,4.0,2.0,1.0,1.0,1.76,3.86,4.41
3,1920,20190810,15,5,105,185,32,0,0,1479,1349,0.0,0.0,0,3,0.0,0.0,2.0,1.0,3.0,1.0,12.0,13.0,4.0,4.0,1.0,1.0,2.06,3.49,3.52
3,1920,20190810,15,5,145,35,39,2,2,1460,1509,0.0,0.0,1,3,1.0,0.0,3.0,3.0,1.0,0.0,17.0,15.0,8.0,3.0,1.0,1.0,2.4,3.32,2.94
3,1920,20190810,15,5,181,244,37,0,0,1495,1362,0.0,0.0,0,0,0.0,3.0,1.0,0.0,2.0,3.0,5.0,12.0,0.0,4.0,1.0,1.0,2.15,3.29,3.48
3,1920,20190810,15,5,182,103,28,1,1,1537,1319,0.0,0.0,3,3,3.0,0.0,1.0,2.0,2.0,1.0,5.0,14.0,3.0,2.0,1.0,1.0,2.67,3.23,2.68
