Div,Date,Time,Team_ID,Opp_ID,Ref_ID,FTR,FTR2,team_hist_vs,AvgH,AvgD,AvgA
2,20190726,1900,0,92,51,0,0,0.0,2.93,2.88,2.63
2,20190726,1900,37,172,51,1,1,0.0,2.48,3.05,2.96
2,20190726,1900,42,39,51,1,1,0.0,1.8,3.41,4.56
2,20190726,1900,73,71,51,0,0,0.0,1.73,3.42,5.05
2,20190726,1900,115,122,51,0,0,0.0,2.18,3.08,3.5
2,20190726,1900,117,171,51,0,2,0.0,3.15,3.06,2.36
2,20190726,1900,144,12,51,1,1,0.0,2.84,2.92,2.68
2,20190726,1900,154,31,51,0,0,0.0,2.92,2.84,2.68
0,20190726,1930,163,75,51,1,1,0.0,1.74,3.85,4.41
0,20190727,1200,52,121,51,0,2,0.0,2.88,3.25,2.44
2,20190727,1400,93,99,51,0,2,0.0,3.03,2.96,2.48
0,20190727,1430,79,149,51,0,0,0.0,2.06,3.54,3.37
0,20190727,1430,123,77,51,0,2,0.0,2.53,3.16,2.82
0,20190728,1230,74,49,51,0,0,0.0,1.71,3.54,4.98
0,20190728,1430,72,59,51,0,2,0.0,2.2,3.25,3.3
0,20190728,1430,141,21,51,1,1,0.0,2.34,3.4,2.9
0,20190728,1430,180,88,51,0,2,0.0,2.4,3.27,2.91
0,20190729,1930,17,161,51,0,0,0.0,2.21,3.37,3.14
2,20190729,1945,103,127,51,1,1,0.0,2.05,3.02,3.96
0,20190802,1730,21,17,51,0,0,0.0,2.7,3.44,2.48
0,20190802,1730,149,123,51,0,2,0.0,2.01,3.34,3.73
2,20190802,1900,12,93,51,1,1,0.0,1.81,3.37,4.59
2,20190802,1900,39,144,51,0,0,0.0,2.91,2.92,2.62
2,20190802,1900,71,0,51,0,2,0.0,2.14,3.08,3.63
2,20190802,1900,92,117,51,0,0,0.0,1.73,3.38,5.19
2,20190802,1900,122,37,51,0,2,0.0,2.14,3.04,3.7
2,20190802,1900,127,154,51,0,0,0.0,2.16,2.8,4.04
2,20190802,1900,171,42,51,0,2,0.0,2.47,3.01,3.02
2,20190802,1900,172,115,51,0,0,0.0,2.68,3.02,2.74
0,20190802,1930,161,72,51,0,2,0.0,2.09,3.34,3.49
1,20190802,1945,105,110,13,0,0,0.0,2.32,3.28,3.19
0,20190803,1200,88,52,51,1,1,0.0,2.09,3.39,3.43
0,20190803,1430,75,141,51,0,0,0.0,1.97,3.5,3.69
1,20190803,1500,14,67,32,1,1,0.0,3.3,3.45,2.17
1,20190803,1500,19,38,52,0,2,0.0,1.8,3.64,4.48
1,20190803,1500,25,18,3,0,2,0.0,1.72,3.75,4.92
1,20190803,1500,111,137,22,1,1,0.0,2.58,3.17,2.84
1,20190803,1500,140,153,7,0,2,0.0,2.56,3.19,2.86
1,20190803,1500,162,138,9,0,2,0.0,1.8,3.51,4.69
1,20190803,1500,166,82,30,1,1,0.0,2.03,3.45,3.7
1,20190803,1500,183,33,2,1,1,0.0,2.99,3.19,2.46
2,20190803,1530,99,73,51,1,1,0.0,2.2,3.01,3.54
1,20190803,1730,119,182,14,0,2,0.0,2.42,3.29,2.97
0,20190804,1230,77,163,51,0,0,0.0,3.42,3.4,2.09
0,20190804,1430,49,79,51,1,1,0.0,2.45,3.46,2.71
0,20190804,1430,59,180,51,1,1,0.0,2.19,3.24,3.34
1,20190804,1630,27,96,12,0,2,0.0,3.02,3.32,2.36
0,20190805,1930,121,74,51,0,2,0.0,2.53,3.25,2.75
1,20190805,1945,80,50,15,0,2,0.0,2.19,3.34,3.35
2,20190805,1945,31,103,51,0,2,0.0,2.32,2.92,3.36
2,20190809,1900,0,31,51,0,2,0.0,2.56,2.91,2.97
2,20190809,1900,37,71,51,0,0,0.0,2.54,2.86,3.06
2,20190809,1900,73,122,51,1,1,0.0,1.84,3.19,4.69
2,20190809,1900,93,172,51,0,2,0.0,2.37,3.0,3.16
2,20190809,1900,115,103,51,0,0,0.0,3.07,3.01,2.41
2,20190809,1900,117,39,51,1,1,0.0,2.15,2.97,3.72
2,20190809,1900,144,127,51,1,1,0.0,2.59,2.75,3.11
2,20190809,1900,154,12,51,1,1,0.0,2.92,2.99,2.54
2,20190809,1900,171,92,51,0,2,0.0,2.26,2.99,3.4
1,20190810,1230,96,119,43,0,0,0.0,1.5,4.18,6.67
2,20190810,1400,42,99,51,0,0,0.0,2.39,2.9,3.23
1,20190810,1500,18,27,13,0,0,0.0,2.59,3.18,2.8
1,20190810,1500,33,105,9,1,1,0.0,1.88,3.45,4.3
1,20190810,1500,38,162,20,1,1,0.0,3.31,3.35,2.19
1,20190810,1500,50,166,33,0,0,0.0,2.23,3.31,3.27
