Div,Date,Time,Team_ID,Opp_ID,Ref_ID,FTR,FTR2,team_hist_vs,AvgH,AvgD,AvgA
2,20200821,1800,18,82,28,0,0,0.0,2.47,2.95,3.25
2,20200822,1600,33,3,28,0,2,0.0,2.73,3.07,2.77
2,20200822,2000,66,95,28,0,0,0.0,2.27,3.18,3.36
2,20200823,1200,79,94,28,0,0,0.0,1.92,3.45,4.16
2,20200823,1400,68,107,28,1,1,0.0,2.56,3.13,2.91
2,20200823,1400,86,21,28,1,1,0.0,2.24,3.32,3.27
2,20200823,1600,85,63,28,1,1,0.0,2.02,3.34,3.88
2,20200828,2000,70,33,28,1,1,0.0,1.3,5.41,10.01
2,20200829,1600,95,80,28,1,1,0.0,2.04,3.28,3.9
2,20200829,2000,107,85,28,0,2,0.0,2.23,3.31,3.31
2,20200830,1200,94,66,28,0,2,0.0,3.03,3.0,2.56
2,20200830,1400,3,18,28,0,2,0.0,2.28,3.1,3.44
2,20200830,1400,77,79,28,0,2,0.0,3.74,3.48,2.01
2,20200830,1400,82,86,28,1,1,0.0,1.96,3.25,4.28
2,20200830,1400,106,68,28,1,1,0.0,2.27,3.23,3.29
2,20200830,2000,21,76,28,0,2,0.0,3.36,3.64,2.09
2,20200910,2000,63,90,28,1,1,0.0,4.9,3.96,1.68
2,20200911,2000,18,70,28,0,0,0.0,4.31,3.46,1.89
1,20200912,1230,45,4,20,0,2,0.0,5.94,4.34,1.55
1,20200912,1500,31,104,30,1,1,0.0,3.18,3.22,2.39
4,20200912,1500,35,26,28,0,0,0.0,2.53,3.16,2.97
2,20200912,1600,80,85,28,1,1,0.0,2.21,3.25,3.4
1,20200912,1730,67,61,1,1,1,0.0,1.3,5.96,9.68
4,20200912,1730,49,7,28,1,1,0.0,2.82,3.0,2.75
1,20200912,2000,124,84,4,0,2,0.0,2.15,3.48,3.42
2,20200912,2000,106,107,28,1,1,0.0,2.16,3.23,3.56
4,20200912,2000,24,89,28,0,2,0.0,2.8,2.95,2.82
2,20200913,1200,66,77,28,1,1,0.0,1.56,3.82,6.65
4,20200913,1300,1,14,28,0,2,0.0,2.83,3.21,2.59
1,20200913,1400,123,62,8,0,2,0.0,3.87,3.57,1.97
2,20200913,1400,3,94,28,1,1,0.0,2.39,2.96,3.36
2,20200913,1400,33,21,28,0,2,0.0,2.5,3.17,2.97
2,20200913,1400,68,63,28,0,2,0.0,2.15,3.3,3.52
2,20200913,1400,86,95,28,0,2,0.0,3.29,3.24,2.27
4,20200913,1500,116,103,28,0,0,0.0,2.88,3.2,2.55
2,20200913,1600,79,82,28,1,1,0.0,1.93,3.55,3.93
1,20200913,1630,110,40,32,0,2,0.0,1.9,3.55,4.2
4,20200913,1730,120,54,28,0,0,0.0,1.57,4.1,5.92
2,20200913,2000,90,76,28,0,2,0.0,1.68,4.52,4.28
4,20200913,2000,115,64,28,1,1,0.0,2.1,3.46,3.53
1,20200914,1800,102,126,31,0,2,0.0,3.36,3.0,2.41
1,20200914,2015,22,27,0,0,2,0.0,5.12,4.13,1.65
2,20200915,2000,80,70,28,1,1,0.0,3.79,3.39,2.05
2,20200916,2000,90,77,28,1,1,0.0,1.26,6.33,9.36
2,20200917,2000,76,106,28,0,2,0.0,2.01,3.33,3.95
0,20200918,1930,12,100,28,1,1,0.0,1.09,11.59,24.69
2,20200918,2000,70,86,28,0,0,0.0,1.31,5.59,9.76
1,20200919,1230,40,123,31,1,1,0.0,1.54,4.25,6.3
0,20200919,1430,36,15,28,0,0,0.0,1.65,4.19,4.91
0,20200919,1430,41,53,28,0,2,0.0,2.6,3.6,2.59
0,20200919,1430,108,43,28,0,2,0.0,2.26,3.48,3.16
0,20200919,1430,114,9,28,0,2,0.0,2.34,3.25,3.19
0,20200919,1430,122,52,28,0,2,0.0,2.62,3.48,2.64
1,20200919,1500,61,45,8,1,1,0.0,1.64,3.97,5.5
4,20200919,1500,120,35,28,1,1,0.0,1.6,4.05,5.72
2,20200919,1600,63,18,28,1,1,0.0,2.36,3.07,3.32
3,20200919,1700,42,109,28,1,1,0.0,1.87,3.69,4.13
1,20200919,1730,75,31,32,0,2,0.0,1.32,5.57,9.56
0,20200919,1730,34,71,28,1,1,0.0,1.63,4.36,4.91
4,20200919,1730,47,89,28,1,1,0.0,1.99,3.18,4.36
3,20200919,1945,119,96,28,0,0,0.0,3.82,3.65,1.96
1,20200919,2000,4,124,1,1,1,0.0,1.53,4.51,5.91
2,20200919,2000,95,79,28,1,1,0.0,2.32,3.37,3.1
4,20200919,2000,26,115,28,1,1,0.0,2.24,3.5,3.17
3,20200920,1130,91,83,28,0,2,0.0,5.13,4.16,1.63
1,20200920,1200,104,110,3,0,2,0.0,3.1,3.35,2.37
2,20200920,1200,85,90,28,0,2,0.0,7.45,4.7,1.42
1,20200920,1400,84,22,33,0,2,0.0,2.68,3.15,2.82
2,20200920,1400,21,68,28,1,1,0.0,2.38,3.22,3.11
2,20200920,1400,77,94,28,1,1,0.0,2.63,2.87,3.1
2,20200920,1400,80,3,28,1,1,0.0,2.14,3.27,3.6
2,20200920,1400,107,33,28,1,1,0.0,1.7,3.74,5.15
3,20200920,1400,46,30,28,1,1,0.0,1.91,3.59,4.03
0,20200920,1430,92,72,28,1,1,0.0,1.37,5.48,7.5
4,20200920,1500,54,24,28,0,2,0.0,2.17,3.01,3.92
2,20200920,1600,82,106,28,0,0,0.0,2.32,3.2,3.25
1,20200920,1630,27,67,13,0,2,0.0,3.15,3.72,2.18
0,20200920,1700,125,65,28,0,0,0.0,2.89,3.44,2.43
3,20200920,1700,99,25,28,0,0,0.0,1.95,3.8,3.67
4,20200920,1730,14,116,28,1,1,0.0,1.87,3.52,4.38
4,20200920,1730,49,1,28,1,1,0.0,2.08,3.07,4.17
1,20200920,1900,62,23,34,1,1,0.0,1.63,3.98,5.64
3,20200920,1945,56,98,28,1,1,0.0,1.28,5.86,10.22
2,20200920,2000,76,66,28,0,0,0.0,2.34,3.19,3.22
4,20200920,2000,103,93,28,0,0,0.0,4.65,3.8,1.76
1,20200921,1800,5,102,21,1,1,0.0,2.71,3.19,2.75
3,20200921,1945,78,17,28,1,1,0.0,1.58,4.31,5.48
1,20200921,2015,126,74,29,0,2,0.0,6.11,4.35,1.54
0,20200925,1930,52,36,28,0,2,0.0,2.28,3.75,2.96
2,20200925,2000,66,82,28,1,1,0.0,1.68,3.67,5.55
4,20200926,1200,1,47,28,0,0,0.0,3.49,2.82,2.45
1,20200926,1230,22,75,20,0,2,0.0,4.83,3.75,1.75
3,20200926,1400,109,6,28,0,2,0.0,4.84,4.25,1.65
0,20200926,1430,9,34,28,1,1,0.0,6.99,4.82,1.43
0,20200926,1430,15,41,28,1,1,0.0,2.71,3.52,2.53
0,20200926,1430,65,92,28,0,0,0.0,3.03,3.65,2.25
0,20200926,1430,72,108,28,0,2,0.0,2.42,3.53,2.84
0,20200926,1430,71,114,28,0,0,0.0,1.44,4.61,7.3
1,20200926,1500,31,40,33,0,2,0.0,3.69,3.32,2.12
