Div,Date,Time,Team_ID,Opp_ID,Ref_ID,FTR,FTR2,team_hist_vs,AvgH,AvgD,AvgA
1,19000101,0,34,31,2,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,45,18,35,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,1,22,6,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,10,2,45,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,12,13,36,0,2,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,20,33,34,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,23,3,12,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,37,42,19,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,38,39,73,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,41,8,39,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,52,30,10,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,6,24,9,0,2,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,2,23,36,0,2,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,3,10,10,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,8,34,34,0,2,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,13,1,12,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,18,52,75,0,2,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,22,12,17,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,24,37,73,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,30,41,2,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,31,6,45,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,39,20,9,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,42,38,20,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,33,45,6,0,2,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,2,34,19,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,3,6,17,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,8,10,2,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,13,41,63,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,18,37,36,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,22,52,37,0,2,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,24,20,10,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,30,12,12,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,31,23,34,0,2,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,39,1,60,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,33,38,35,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,42,45,39,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,12,3,19,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,1,33,37,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,6,18,39,0,2,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,10,31,17,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,20,42,4,0,2,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,23,8,35,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,34,30,21,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,37,39,6,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,38,22,34,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,41,2,12,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,45,24,45,0,2,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,52,13,73,0,2,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,10,1,36,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,22,6,35,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,2,45,20,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,3,39,39,0,2,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,8,52,12,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,12,42,10,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,13,38,9,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,23,20,13,0,2,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,30,37,17,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,31,33,19,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,34,24,37,0,2,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,41,18,6,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,18,22,10,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,1,8,73,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,6,30,36,0,2,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,20,13,19,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,24,12,35,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,33,3,9,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,37,2,2,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,38,23,45,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,39,10,34,0,2,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,42,34,6,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,45,41,37,0,2,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,52,31,16,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,1,30,34,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,6,41,4,0,2,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,24,3,2,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,33,12,45,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,37,13,35,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,38,31,76,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,42,8,37,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,45,34,9,0,2,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,52,10,39,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,20,22,12,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,2,1,9,0,2,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,3,37,31,0,2,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,8,39,19,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,10,18,59,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,12,20,39,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,13,42,75,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,22,45,17,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,23,6,6,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,30,38,10,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,31,24,12,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,34,52,36,0,2,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,41,33,73,0,2,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,1,34,12,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,6,8,17,0,2,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,18,3,76,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,20,30,35,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,24,23,36,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,33,10,31,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,37,31,10,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,38,12,6,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,39,22,39,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,45,13,2,0,2,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,52,2,37,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,42,41,9,0,2,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,2,38,36,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,8,18,45,0,0,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,10,6,19,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,12,1,57,0,2,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,13,24,60,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,22,37,34,0,2,0.0,2.685435749221876,3.810824811027123,3.992207647843486
1,19000101,0,23,45,12,1,1,0.0,2.685435749221876,3.810824811027123,3.992207647843486
