Div,Date,Time,Team_ID,Opp_ID,Ref_ID,FTR,FTR2,team_hist_vs,AvgH,AvgD,AvgA
1,20190802,1945,25,28,35,0,0,0.0,2.32,3.28,3.19
1,20190803,1500,2,18,45,1,1,0.0,3.3,3.45,2.17
1,20190803,1500,4,12,55,0,2,0.0,1.8,3.64,4.48
1,20190803,1500,7,3,30,0,2,0.0,1.72,3.75,4.92
1,20190803,1500,29,35,39,1,1,0.0,2.58,3.17,2.84
1,20190803,1500,37,40,34,0,2,0.0,2.56,3.19,2.86
1,20190803,1500,42,36,10,0,2,0.0,1.8,3.51,4.69
1,20190803,1500,44,20,5,1,1,0.0,2.03,3.45,3.7
1,20190803,1500,49,11,29,1,1,0.0,2.99,3.19,2.46
1,20190803,1730,32,47,17,0,2,0.0,2.42,3.29,2.97
1,20190804,1630,9,22,12,0,2,0.0,3.02,3.32,2.36
1,20190805,1945,19,16,36,0,2,0.0,2.19,3.34,3.35
0,20190809,2000,24,31,1,1,1,0.0,1.14,8.75,19.83
0,20190810,1230,48,26,58,0,2,0.0,11.84,6.28,1.25
1,20190810,1230,22,32,7,0,0,0.0,1.5,4.18,6.67
0,20190810,1500,6,39,60,0,0,0.0,2.01,3.53,3.83
0,20190810,1500,10,41,21,1,1,0.0,2.68,3.22,2.78
0,20190810,1500,15,17,57,0,0,0.0,3.13,3.27,2.4
0,20190810,1500,46,8,0,0,2,0.0,1.94,3.41,4.26
1,20190810,1500,3,9,35,0,0,0.0,2.59,3.18,2.8
1,20190810,1500,11,25,10,1,1,0.0,1.88,3.45,4.3
1,20190810,1500,12,42,9,1,1,0.0,3.31,3.35,2.19
1,20190810,1500,16,44,15,0,0,0.0,2.23,3.31,3.27
1,20190810,1500,18,4,31,1,1,0.0,1.76,3.86,4.41
1,20190810,1500,20,37,32,1,1,0.0,2.06,3.49,3.52
1,20190810,1500,28,7,39,0,2,0.0,2.4,3.32,2.94
1,20190810,1500,35,49,37,1,1,0.0,2.15,3.29,3.48
1,20190810,1500,36,19,28,0,0,0.0,2.67,3.23,2.68
1,20190810,1500,40,2,19,1,1,0.0,2.22,3.28,3.32
1,20190810,1500,47,29,29,0,0,0.0,1.9,3.48,4.1
0,20190810,1730,45,1,20,1,1,0.0,1.3,5.53,10.51
