Div,Date,Time,DayOTW,Team_ID,Opp_ID,Ref_ID,FTR,FTR2,team_hist_vs,AvgH,AvgD,AvgA
8,20120302,19,4,112,358,0,2,2,0.0,9.8,4.74,1.3
8,20120302,19,4,108,51,0,1,1,0.0,1.73,3.27,5.1
8,20120302,19,4,385,56,0,1,1,0.0,1.44,4.06,6.92
8,20120302,19,4,421,92,0,1,1,0.0,4.02,3.31,1.87
8,20120302,20,4,260,113,0,0,0,0.0,2.9,3.05,2.44
8,20120302,20,4,365,375,0,0,0,0.0,3.32,3.16,2.14
8,20120309,19,4,51,365,0,2,2,0.0,2.55,3.01,2.75
8,20120309,19,4,56,108,0,2,2,0.0,6.25,3.7,1.52
8,20120309,19,4,92,112,0,2,2,0.0,1.69,3.41,4.96
8,20120309,19,4,113,385,0,2,2,0.0,3.95,3.22,1.91
8,20120309,20,4,358,260,0,1,1,0.0,1.23,5.43,11.69
10,20120310,5,5,144,449,0,2,2,0.0,1.71,3.62,4.55
10,20120310,5,5,347,428,0,1,1,0.0,2.51,3.19,2.67
10,20120310,5,5,265,369,0,1,1,0.0,1.65,3.62,4.88
10,20120310,5,5,338,70,0,0,0,0.0,3.01,3.23,2.24
10,20120310,5,5,180,194,0,0,0,0.0,2.86,3.2,2.36
10,20120310,5,5,439,208,0,1,1,0.0,2.85,3.12,2.4
10,20120310,8,5,210,12,0,1,1,0.0,1.87,3.38,3.92
10,20120310,10,5,284,127,0,2,2,0.0,2.97,3.16,2.3
8,20120310,19,5,375,421,0,1,1,0.0,1.3,4.88,9.37
19,20120310,23,5,87,88,0,1,1,0.0,2.01,3.19,3.65
19,20120310,23,5,433,59,0,1,1,0.0,1.97,3.27,3.7
19,20120311,0,6,100,382,0,2,2,0.0,2.46,3.11,2.81
19,20120311,3,6,242,325,0,2,2,0.0,1.81,3.33,4.31
19,20120311,3,6,340,272,0,1,1,0.0,1.82,3.36,4.23
10,20120311,5,6,209,469,0,0,0,0.0,2.01,3.26,3.58
19,20120311,19,6,124,274,0,1,1,0.0,2.2,3.18,3.17
19,20120311,23,6,79,184,0,2,2,0.0,2.46,3.08,2.85
19,20120313,1,1,310,301,0,1,1,0.0,2.12,3.16,3.4
8,20120316,19,4,92,358,0,0,0,0.0,5.14,3.56,1.64
8,20120316,19,4,112,113,0,0,0,0.0,2.05,3.16,3.57
8,20120316,19,4,375,51,0,1,1,0.0,1.49,3.73,6.63
8,20120316,19,4,385,260,0,0,0,0.0,1.35,4.29,8.93
8,20120316,19,4,421,56,0,2,2,0.0,2.03,3.24,3.56
8,20120316,20,4,365,108,0,1,1,0.0,3.13,3.09,2.28
10,20120317,5,5,12,284,0,2,2,0.0,2.22,3.18,3.16
10,20120317,5,5,70,144,0,1,1,0.0,2.55,3.33,2.57
10,20120317,5,5,208,210,0,2,2,0.0,2.04,3.32,3.44
10,20120317,5,5,428,209,0,1,1,0.0,2.61,3.25,2.56
10,20120317,5,5,469,439,0,2,2,0.0,2.16,3.16,3.29
10,20120317,6,5,369,347,0,1,1,0.0,2.31,3.21,2.94
10,20120317,8,5,194,338,0,1,1,0.0,1.82,3.35,4.21
10,20120317,8,5,449,180,0,1,1,0.0,1.58,3.68,5.69
10,20120317,10,5,127,265,0,1,1,0.0,2.38,3.16,2.89
19,20120317,18,5,59,77,0,0,0,0.0,2.63,3.07,2.63
19,20120317,21,5,340,184,0,2,2,0.0,2.39,3.19,2.82
19,20120318,0,6,124,310,0,0,0,0.0,2.06,3.17,3.64
19,20120318,0,6,382,272,0,1,1,0.0,1.51,3.74,6.68
19,20120318,2,6,325,274,0,1,1,0.0,1.93,3.28,3.84
19,20120318,2,6,355,410,0,1,1,0.0,1.58,3.59,5.9
19,20120318,2,6,79,433,0,2,2,0.0,2.22,3.17,3.17
19,20120318,20,6,301,87,0,2,2,0.0,2.23,3.12,3.22
19,20120318,23,6,242,100,0,1,1,0.0,1.56,3.69,5.95
12,20120323,18,4,259,390,0,1,1,0.0,1.62,3.75,5.24
8,20120323,19,4,56,112,0,2,2,0.0,2.79,3.15,2.45
8,20120323,19,4,108,92,0,1,1,0.0,1.85,3.23,4.26
8,20120323,19,4,113,421,0,1,1,0.0,2.41,3.08,2.91
8,20120323,20,4,260,375,0,2,2,0.0,6.39,3.66,1.54
8,20120323,20,4,358,365,0,1,1,0.0,1.72,3.4,4.85
19,20120324,2,5,355,184,0,1,1,0.0,1.87,3.34,4.05
10,20120324,4,5,347,208,0,1,1,0.0,2.45,3.21,2.74
10,20120324,4,5,439,284,0,1,1,0.0,1.92,3.29,3.87
10,20120324,5,5,210,70,0,2,2,0.0,2.19,3.3,3.08
10,20120324,5,5,449,127,0,2,2,0.0,2.65,3.11,2.61
10,20120324,6,5,338,469,0,1,1,0.0,2.88,3.23,2.34
10,20120324,7,5,180,428,0,2,2,0.0,3.12,3.19,2.22
10,20120324,10,5,209,369,0,1,1,0.0,1.71,3.62,4.52
12,20120324,17,5,181,235,0,0,0,0.0,2.45,3.29,2.72
19,20120324,17,5,410,340,0,2,2,0.0,2.35,3.08,3.02
19,20120324,20,5,88,59,0,1,1,0.0,1.65,3.48,5.28
19,20120324,20,5,272,310,0,1,1,0.0,2.84,3.13,2.44
19,20120325,0,6,77,301,0,1,1,0.0,1.88,3.36,3.98
19,20120325,2,6,325,79,0,2,2,0.0,1.48,3.91,6.91
19,20120325,4,6,433,100,0,0,0,0.0,2.15,3.22,3.28
10,20120325,8,6,265,12,0,1,1,0.0,1.7,3.47,4.81
10,20120325,11,6,144,194,0,2,2,0.0,1.95,3.4,3.67
