Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
B1,26/04/2024,19:45,Eupen,Charleroi,,,,,,,3.4,3.2,2.2,3.3,3.2,2.25,,,,3.5,3.21,2.26,2.7,3.4,2.3,3.3,3.2,2.2,3.53,3.4,2.29,3.35,3.19,2.23,2.25,1.62,2.31,1.65,2.42,1.78,2.26,1.63,0.25,1.93,1.93,1.95,1.93,2,1.97,1.92,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,27/04/2024,15:00,Mechelen,Oud-Heverlee Leuven,,,,,,,1.95,3.75,3.6,2,3.6,3.5,,,,1.98,3.83,3.64,,,,1.93,3.6,3.4,2.02,3.83,3.67,1.96,3.67,3.53,1.67,2.15,1.69,2.2,1.79,2.22,1.69,2.14,-0.5,1.98,1.88,1.99,1.9,2.02,1.92,1.95,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,27/04/2024,17:15,Standard,St Truiden,,,,,,,2.25,3.4,3.1,,,,,,,2.25,3.49,3.25,,,,2.15,3.3,3.1,2.25,3.55,3.25,2.2,3.41,3.15,1.88,1.98,1.9,1.97,1.94,2,1.87,1.92,-0.25,1.95,1.9,1.95,1.93,1.99,1.95,1.9,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,27/04/2024,19:45,Gent,Westerlo,,,,,,,1.36,5.25,7,1.37,5.25,7.25,,,,1.35,5.72,7.81,,,,1.33,5,7.5,1.4,5.8,8,1.34,5.36,7.38,1.4,2.88,1.4,3.04,1.44,3.04,1.4,2.87,-1.5,1.95,1.9,1.95,1.93,2.04,1.93,1.94,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,28/04/2024,12:30,Genk,Club Brugge,,,,,,,2.9,3.6,2.25,2.87,3.7,2.25,,,,2.95,3.53,2.34,,,,2.88,3.5,2.2,3.01,3.75,2.37,2.89,3.54,2.27,1.65,2.2,1.66,2.24,1.67,2.35,1.63,2.23,0.25,1.85,2,1.83,2.04,1.89,2.05,1.82,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,28/04/2024,15:00,Cercle Brugge,Anderlecht,,,,,,,2.8,3.5,2.38,,,,,,,2.91,3.47,2.4,,,,2.75,3.4,2.3,2.92,3.64,2.45,2.8,3.43,2.37,1.7,2.1,1.72,2.15,1.77,2.21,1.71,2.12,0.25,1.78,2.1,1.79,2.08,1.81,2.13,1.76,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,28/04/2024,17:30,St. Gilloise,Antwerp,,,,,,,1.67,4,4.75,1.71,4,4.5,,,,1.68,4.01,4.77,,,,1.65,3.8,4.5,1.73,4.1,4.9,1.68,3.91,4.65,1.67,2.15,1.7,2.18,1.71,2.21,1.68,2.14,-0.75,1.88,1.98,1.88,1.98,1.96,2,1.87,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,28/04/2024,18:15,RWD Molenbeek,Kortrijk,,,,,,,2.38,3.4,2.9,2.35,3.4,2.9,,,,2.4,3.4,2.95,,,,2.3,3.3,2.88,2.43,3.51,2.99,2.35,3.38,2.88,1.93,1.93,1.88,1.95,1.99,1.97,1.87,1.91,-0.25,2.05,1.8,2.08,1.79,2.11,1.83,2.02,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,26/04/2024,19:30,Bochum,Hoffenheim,,,,,,,2.15,4,2.9,2.15,3.9,2.95,,,,2.21,4,3.06,2.2,3.9,2.88,2.2,3.8,3,2.29,4.11,3.09,2.21,3.92,2.99,1.44,2.75,1.46,2.87,1.49,2.93,1.44,2.8,-0.25,1.95,1.98,1.95,1.97,1.99,1.98,1.93,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,27/04/2024,14:30,Augsburg,Werder Bremen,,,,,,,1.8,4,4,1.83,3.9,3.9,,,,1.8,4.19,4.13,1.8,4,4,1.8,4.1,4,1.86,4.3,4.22,1.81,4.09,4.05,1.57,2.38,1.56,2.53,1.58,2.57,1.55,2.45,-0.75,2.07,1.86,2.03,1.88,2.11,1.89,2.02,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,27/04/2024,14:30,Bayern Munich,Ein Frankfurt,,,,,,,1.4,5.25,7,1.41,5.25,6.5,,,,1.42,5.46,6.65,1.36,5.5,7,1.4,5.25,7,1.44,5.7,7.14,1.41,5.4,6.67,1.36,3.2,1.37,3.22,1.39,3.3,1.36,3.17,-1.25,1.86,2.07,1.85,2.06,1.88,2.09,1.82,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,27/04/2024,14:30,Freiburg,Wolfsburg,,,,,,,2.3,3.6,2.88,2.25,3.5,3,,,,2.37,3.58,3.01,2.3,3.6,2.9,2.3,3.6,3,2.4,3.7,3.1,2.33,3.56,3,1.84,2.06,1.88,2.01,1.89,2.11,1.83,2.02,-0.25,2.07,1.86,2.06,1.85,2.07,1.91,2.01,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,27/04/2024,14:30,RB Leipzig,Dortmund,,,,,,,1.67,4.33,4.5,1.68,4.33,4.33,,,,1.68,4.45,4.61,1.65,4.33,4.4,1.67,4.33,4.5,1.74,4.6,4.75,1.68,4.41,4.51,1.4,3,1.42,2.96,1.43,3.1,1.4,2.98,-0.75,1.86,2.07,1.85,2.06,1.9,2.07,1.83,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,27/04/2024,17:30,Leverkusen,Stuttgart,,,,,,,1.75,4.2,4.33,1.73,4.1,4.2,,,,1.76,4.31,4.25,1.73,4.2,4.2,1.75,4.2,4.2,1.81,4.4,4.75,1.75,4.22,4.27,1.57,2.38,1.57,2.53,1.6,2.55,1.55,2.46,-0.75,2,1.93,1.98,1.93,2.02,1.98,1.94,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,28/04/2024,14:30,M'gladbach,Union Berlin,,,,,,,2.3,3.5,3,2.25,3.4,3.1,,,,2.38,3.45,3.1,2.25,3.5,3,2.3,3.5,3,2.42,3.61,3.12,2.33,3.46,3.07,1.97,1.93,1.97,1.92,1.99,1.95,1.93,1.89,-0.25,2.06,1.87,2.06,1.85,2.06,1.9,2.01,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,28/04/2024,16:30,Mainz,FC Koln,,,,,,,1.55,4.33,6,1.55,4.2,5.75,,,,1.54,4.37,6.2,1.53,4.33,5.8,1.53,4.4,6,1.58,4.52,6.5,1.54,4.34,6.02,1.73,2.1,1.76,2.14,1.79,2.18,1.73,2.13,-1,1.94,1.99,1.94,1.96,1.97,1.99,1.9,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,28/04/2024,18:30,Darmstadt,Heidenheim,,,,,,,3.3,3.75,2.1,3.25,3.7,2.1,,,,3.42,3.71,2.12,3.2,3.7,2.1,3.25,3.75,2.1,3.5,3.86,2.16,3.33,3.71,2.11,1.67,2.2,1.7,2.25,1.74,2.29,1.67,2.23,0.25,2.07,1.86,2.06,1.85,2.07,1.86,2.01,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,26/04/2024,17:30,Hertha,Hannover,,,,,,,2.2,3.6,3,2.2,3.7,2.95,,,,2.27,3.72,3.08,2.15,3.7,2.88,2.2,3.7,2.88,2.3,3.85,3.12,2.22,3.64,2.98,1.57,2.35,1.58,2.49,1.58,2.63,1.54,2.44,-0.25,1.98,1.88,1.99,1.92,2.02,1.94,1.93,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,26/04/2024,17:30,St Pauli,Hansa Rostock,,,,,,,1.36,5.5,8,1.36,5.25,8.25,,,,1.35,5.41,8.72,1.33,5,8,1.33,5,8,1.4,5.5,10,1.34,5.16,8.38,1.57,2.35,1.63,2.38,1.64,2.38,1.6,2.31,-1.5,2.03,1.83,2.03,1.88,2.07,1.93,1.99,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,27/04/2024,12:00,Braunschweig,Hamburg,,,,,,,3,3.75,2.2,3.1,3.7,2.15,,,,3.24,3.65,2.22,3.1,3.7,2.05,3,3.75,2.1,3.24,3.75,2.23,3.1,3.61,2.16,1.65,2.2,1.67,2.3,1.68,2.38,1.62,2.28,0.25,1.93,1.93,1.97,1.93,1.99,1.97,1.92,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,27/04/2024,12:00,Holstein Kiel,Kaiserslautern,,,,,,,1.75,4.2,4.2,1.8,4,3.9,,,,1.79,4.14,4.25,1.7,4.2,3.9,1.73,4.2,3.9,1.8,4.3,4.3,1.76,4.08,4.09,1.48,2.6,1.5,2.68,1.5,2.7,1.47,2.61,-0.75,1.98,1.88,2.01,1.9,2.01,1.93,1.94,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,27/04/2024,12:00,Paderborn,Elversberg,,,,,,,1.91,4,3.5,1.95,3.9,3.4,,,,1.94,4.09,3.62,1.95,4,3.2,1.9,4.1,3.3,2.05,4.15,3.63,1.93,3.96,3.44,1.48,2.6,1.49,2.73,1.49,2.85,1.45,2.67,-0.5,1.93,1.93,1.95,1.95,2,1.98,1.91,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,27/04/2024,19:30,Schalke 04,Fortuna Dusseldorf,,,,,,,2.9,3.75,2.25,2.7,3.75,2.35,,,,2.94,3.6,2.41,2.75,3.75,2.2,2.75,3.6,2.3,2.94,3.82,2.41,2.8,3.63,2.32,1.53,2.4,1.58,2.5,1.58,2.52,1.53,2.43,0.25,1.83,2.03,1.83,2.1,1.85,2.11,1.79,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,28/04/2024,12:30,Magdeburg,Osnabruck,,,,,,,1.65,4.33,4.75,1.68,4.2,4.4,,,,1.67,4.27,4.95,1.65,4.2,4.33,1.62,4.4,4.5,1.68,4.4,4.95,1.64,4.24,4.6,1.48,2.6,1.51,2.66,1.51,2.85,1.46,2.62,-0.75,1.8,2.05,1.84,2.08,1.86,2.12,1.81,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,28/04/2024,12:30,Nurnberg,Karlsruhe,,,,,,,3.3,3.75,2.1,3.2,3.9,2.05,,,,3.27,3.83,2.14,3.2,3.8,2,3.13,3.8,2.05,3.3,4,2.14,3.17,3.79,2.07,1.5,2.5,1.53,2.59,1.53,2.63,1.5,2.52,0.25,2,1.85,2.03,1.88,2.07,1.89,1.98,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,28/04/2024,12:30,Wehen,Greuther Furth,,,,,,,2.4,3.4,2.9,2.4,3.5,2.8,,,,2.45,3.46,2.97,2.3,3.5,2.75,2.38,3.5,2.8,2.45,3.6,3,2.38,3.42,2.85,1.8,2,1.83,2.05,1.83,2.1,1.77,2.02,-0.25,2.05,1.8,2.12,1.81,2.13,1.85,2.03,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,27/04/2024,12:30,West Ham,Liverpool,,,,,,,5.5,5,1.5,5.5,4.75,1.52,,,,5.84,5.03,1.5,5.5,5,1.5,5.75,4.75,1.45,6,5.18,1.58,5.63,4.89,1.51,1.36,3.2,1.38,3.2,1.42,3.27,1.37,3.1,1,2.05,1.75,2.15,1.77,2.15,1.9,2.1,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,27/04/2024,15:00,Fulham,Crystal Palace,,,,,,,2.1,3.5,3.5,2,3.6,3.5,,,,2.14,3.63,3.43,2.1,3.6,3.3,2.05,3.5,3.3,2.17,3.75,3.6,2.11,3.6,3.42,1.73,2.1,1.7,2.24,1.75,2.28,1.7,2.18,-0.25,1.83,2.07,1.87,2.05,1.88,2.14,1.82,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,27/04/2024,15:00,Man United,Burnley,,,,,,,1.5,4.75,5.5,1.51,4.75,5.5,,,,1.53,5.01,5.35,1.5,4.8,5.5,1.45,4.6,5.5,1.57,5.2,5.75,1.52,4.9,5.44,1.36,3.2,1.37,3.24,1.41,3.39,1.36,3.15,-1.25,2.07,1.83,2.08,1.82,2.09,1.88,2.05,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,27/04/2024,15:00,Newcastle,Sheffield United,,,,,,,1.22,7,11,1.23,6.75,11,,,,1.24,7.18,10.5,1.2,7,12,1.2,6.5,11.5,1.25,7.6,12.9,1.23,7.04,11.1,1.33,3.4,1.34,3.35,1.37,3.45,1.33,3.31,-2,2.04,1.86,2.07,1.83,2.08,1.88,2.01,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,27/04/2024,15:00,Wolves,Luton,,,,,,,1.95,3.8,3.6,2,3.7,3.4,,,,1.98,3.9,3.65,1.95,3.8,3.5,1.95,3.6,3.5,2.04,4.03,3.78,1.98,3.83,3.58,1.62,2.3,1.66,2.32,1.67,2.4,1.63,2.31,-0.5,2.01,1.89,1.99,1.91,2.04,1.91,1.98,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,27/04/2024,17:30,Everton,Brentford,,,,,,,2.3,3.5,3,2.37,3.5,2.8,,,,2.34,3.54,3.09,2.3,3.6,2.88,2.3,3.3,2.9,2.45,3.68,3.13,2.36,3.5,2.97,1.87,2.03,1.86,2.03,1.9,2.11,1.83,2.01,-0.25,2.05,1.85,2.03,1.88,2.1,1.9,2.03,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,27/04/2024,20:00,Aston Villa,Chelsea,,,,,,,2.15,3.8,3,2.15,3.8,2.95,,,,2.14,4.04,3.13,2.2,3.9,2.9,2.1,3.75,3,2.25,4.1,3.21,2.17,3.9,3.06,1.44,2.75,1.47,2.81,1.47,2.88,1.44,2.77,-0.25,1.9,2,1.9,2.01,1.97,2.03,1.9,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,28/04/2024,14:00,Bournemouth,Brighton,,,,,,,2.25,3.8,2.9,2.3,3.75,2.8,,,,2.27,3.85,2.99,2.2,3.9,2.88,2.2,3.7,2.88,2.32,4.01,3.05,2.26,3.8,2.94,1.44,2.75,1.5,2.7,1.5,2.79,1.47,2.68,-0.25,1.99,1.91,2,1.91,2.01,1.96,1.96,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,28/04/2024,14:00,Tottenham,Arsenal,,,,,,,4.2,4.2,1.75,4.2,4.1,1.73,,,,4.19,4.07,1.81,3.9,4,1.8,4.1,4,1.73,4.3,4.27,1.86,4.12,4.07,1.8,1.5,2.63,1.51,2.65,1.52,2.72,1.48,2.63,0.75,1.89,2.01,1.87,2.04,1.94,2.05,1.86,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,28/04/2024,16:30,Nott'm Forest,Man City,,,,,,,8,6,1.3,9,5.75,1.31,,,,10.15,5.89,1.3,9.5,5.5,1.29,9.5,5.25,1.29,11,6,1.38,9.5,5.72,1.31,1.53,2.5,1.56,2.53,1.57,2.57,1.53,2.5,1.5,1.99,1.91,1.99,1.91,2.04,2.06,1.96,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,26/04/2024,20:00,QPR,Leeds,,,,,,,5,4.5,1.57,5.25,4.4,1.52,,,,5.56,4.38,1.59,5.5,3.9,1.57,5.75,4.2,1.59,5.75,4.5,1.68,5.34,4.28,1.59,1.67,2.2,1.71,2.22,1.71,2.29,1.68,2.19,1,1.91,1.99,1.91,1.99,2.05,2.02,1.88,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,27/04/2024,15:00,Blackburn,Coventry,,,,,,,2.15,3.6,3.2,2.15,3.6,3.1,,,,2.16,3.71,3.3,2.2,3.4,3.1,2.15,3.6,3.13,2.32,3.77,3.35,2.17,3.61,3.16,1.67,2.2,1.67,2.3,1.67,2.32,1.63,2.26,-0.25,1.89,2.01,1.89,2.02,2,2.02,1.89,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,27/04/2024,15:00,Bristol City,Rotherham,,,,,,,1.36,4.75,9.5,1.39,4.6,8.5,,,,1.37,4.94,8.96,1.35,4.4,9.5,1.33,4.8,9.5,1.39,5.1,9.5,1.36,4.84,8.94,1.83,2.03,1.83,2.04,1.91,2.06,1.82,1.98,-1.25,1.85,2.02,1.88,2.01,1.89,2.04,1.84,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,27/04/2024,15:00,Cardiff,Middlesbrough,,,,,,,3.6,3.6,2,3.6,3.5,2,,,,3.77,3.56,2.02,3.6,3.4,2,3.6,3.5,2,3.82,3.65,2.05,3.63,3.55,2.01,1.93,1.93,1.92,1.95,1.96,1.96,1.9,1.9,0.5,1.86,2.04,1.86,2.03,1.88,2.06,1.83,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,27/04/2024,15:00,Huddersfield,Birmingham,,,,,,,2.25,3.4,3.2,2.25,3.4,3.1,,,,2.33,3.3,3.31,2.25,3.3,3.1,2.25,3.4,3.1,2.35,3.42,3.31,2.28,3.33,3.17,2.05,1.8,2.08,1.83,2.08,1.87,1.99,1.81,-0.25,1.99,1.91,2,1.9,2,1.92,1.95,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,27/04/2024,15:00,Millwall,Plymouth,,,,,,,2.2,3.4,3.4,2.1,3.4,3.4,,,,2.19,3.49,3.44,2.1,3.3,3.4,2.15,3.4,3.3,2.2,3.56,3.55,2.14,3.41,3.39,2.03,1.83,2.06,1.83,2.06,1.85,1.99,1.81,-0.25,1.86,2.01,1.89,2.01,1.91,2.05,1.84,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,27/04/2024,15:00,Norwich,Swansea,,,,,,,1.67,4,5,1.68,4,4.75,,,,1.66,4.32,4.9,1.65,3.9,4.8,1.65,4.1,4.8,1.69,4.4,5,1.66,4.11,4.79,1.67,2.2,1.68,2.29,1.68,2.3,1.66,2.21,-0.75,1.82,2.05,1.85,2.06,1.88,2.06,1.83,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,27/04/2024,15:00,Sheffield Weds,West Brom,,,,,,,3,3.3,2.45,2.95,3.25,2.45,,,,2.99,3.36,2.5,3,3.2,2.38,2.9,3.25,2.45,3.05,3.39,2.5,2.93,3.26,2.45,2.1,1.73,2.18,1.74,2.19,1.75,2.12,1.71,0.25,1.81,2.09,1.78,2.14,1.81,2.17,1.75,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,27/04/2024,15:00,Southampton,Stoke,,,,,,,1.75,4.33,4,1.75,4.1,4.1,,,,1.79,4.49,3.93,1.8,3.9,4,1.75,4.1,4.1,1.8,4.6,4.14,1.77,4.27,3.95,1.53,2.5,1.53,2.61,1.53,2.63,1.51,2.52,-0.75,2,1.9,2.01,1.9,2.02,1.91,1.96,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
