Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
B1,20/04/2024,15:00,Oud-Heverlee Leuven,St Truiden,,,,,,,2.63,3.3,2.63,2.55,3.5,2.65,,,,2.67,3.53,2.63,,,,2.55,3.4,2.5,2.67,3.59,2.67,2.59,3.42,2.59,1.75,2.05,1.78,2.1,1.83,2.1,1.77,2.03,0,1.93,1.93,1.96,1.93,1.97,1.95,1.92,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,20/04/2024,17:15,Westerlo,Standard,,,,,,,2.6,3.4,2.6,2.6,3.6,2.5,,,,2.66,3.57,2.61,,,,2.55,3.4,2.5,2.68,3.65,2.62,2.59,3.49,2.56,1.73,2.08,1.76,2.13,1.8,2.14,1.75,2.06,0,1.93,1.93,1.96,1.93,1.97,1.97,1.93,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,20/04/2024,19:00,Gent,Mechelen,,,,,,,1.55,4,6,1.58,4.2,5.25,,,,1.58,4.18,5.79,,,,1.53,4,5.25,1.58,4.3,6,1.56,4.13,5.56,1.7,2.1,1.76,2.12,1.76,2.16,1.73,2.08,-1,1.98,1.88,2,1.88,2.05,1.9,1.95,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,20/04/2024,19:45,Genk,Anderlecht,,,,,,,2.15,3.6,3.2,2.1,3.6,3.2,,,,2.18,3.52,3.37,,,,2.05,3.5,3.13,2.21,3.69,3.37,2.13,3.53,3.23,1.73,2.08,1.77,2.12,1.79,2.17,1.73,2.08,-0.25,1.88,1.98,1.89,1.99,1.94,2.02,1.85,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,21/04/2024,12:30,Cercle Brugge,Antwerp,,,,,,,2.63,3.3,2.63,2.55,3.5,2.6,,,,2.66,3.42,2.71,,,,2.5,3.4,2.55,2.67,3.55,2.71,2.59,3.39,2.61,1.85,2,1.85,2.02,1.89,2.02,1.83,1.96,0,1.9,1.95,1.93,1.96,1.95,2,1.9,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,21/04/2024,15:00,Kortrijk,RWD Molenbeek,,,,,,,2.1,3.4,3.4,2.1,3.5,3.3,,,,2.08,3.36,3.67,,,,2.05,3.3,3.4,2.16,3.58,3.73,2.07,3.41,3.46,2,1.85,2.01,1.83,2.02,1.89,1.95,1.83,-0.25,1.8,2.05,1.79,2.08,1.85,2.09,1.77,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,21/04/2024,17:30,St. Gilloise,Club Brugge,,,,,,,2.3,3.4,3,2.3,3.5,2.9,,,,2.31,3.39,3.1,,,,2.2,3.4,2.9,2.34,3.56,3.13,2.28,3.41,2.98,1.85,2,1.85,2,1.9,2.04,1.82,1.96,-0.25,2.03,1.83,2,1.85,2.06,1.87,1.96,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,21/04/2024,18:15,Charleroi,Eupen,,,,,,,1.67,3.75,5,1.7,3.8,4.8,,,,1.67,3.9,5,,,,1.65,3.7,4.75,1.71,3.95,5.1,1.67,3.8,4.82,1.88,1.98,1.85,1.99,1.97,2,1.85,1.93,-0.75,1.88,1.98,1.87,1.98,1.95,2,1.86,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,19/04/2024,19:30,Ein Frankfurt,Augsburg,,,,,,,2,3.75,3.5,2.05,3.75,3.3,,,,2.06,3.76,3.6,2,3.75,3.4,2.05,3.75,3.4,2.1,3.87,3.61,2.05,3.77,3.48,1.67,2.2,1.69,2.29,1.71,2.35,1.67,2.26,-0.5,2.05,1.85,2.07,1.86,2.07,1.89,2.04,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,20/04/2024,14:30,FC Koln,Darmstadt,,,,,,,1.5,4.75,5.75,1.5,4.5,6,,,,1.49,4.61,6.76,1.5,4.5,6,1.5,4.6,6,1.55,4.75,6.9,1.5,4.57,6.35,1.62,2.3,1.66,2.31,1.7,2.34,1.65,2.28,-1,1.84,2.06,1.8,2.1,1.85,2.12,1.81,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
