Country,League,Date,Time,Home,Away,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Argentina,Copa De La Liga Profesional,20/04/2024,19:30,Argentinos Jrs,Defensa y Justicia,2.22,3.34,3.45,2.22,3.5,3.45,2.14,3.26,3.27
Argentina,Copa De La Liga Profesional,20/04/2024,22:30,Estudiantes L.P.,Barracas Central,1.68,3.91,5.26,1.7,3.91,5.75,1.66,3.61,5.1
Argentina,Copa De La Liga Profesional,21/04/2024,01:15,Godoy Cruz,Velez Sarsfield,2.44,2.91,3.5,2.44,3.1,3.5,2.32,2.87,3.32
Argentina,Copa De La Liga Profesional,21/04/2024,19:30,River Plate,Boca Juniors,2.13,3.42,3.46,2.16,3.45,3.5,2.1,3.2,3.33
Austria,Bundesliga,19/04/2024,18:30,Sturm Graz,SK Rapid,1.87,3.73,4.3,1.92,3.9,4.3,1.84,3.66,3.97
Austria,Bundesliga,20/04/2024,16:00,Altach,BW Linz,2.12,3.13,4.13,2.13,3.24,4.13,2.06,3.11,3.82
Austria,Bundesliga,20/04/2024,16:00,Austria Vienna,Tirol,1.76,3.77,4.91,1.77,3.84,5,1.72,3.67,4.59
Austria,Bundesliga,20/04/2024,16:00,Wolfsberger AC,A. Lustenau,1.62,3.96,5.99,1.62,4,6.1,1.57,3.86,5.77
Austria,Bundesliga,21/04/2024,13:30,LASK,Hartberg,1.87,3.87,4.14,1.9,3.87,4.33,1.83,3.65,3.96
Austria,Bundesliga,21/04/2024,16:00,Salzburg,A. Klagenfurt,1.26,6.22,11.51,1.29,6.5,12,1.25,5.72,10.58
Brazil,Serie A,20/04/2024,20:00,Fluminense,Vasco,1.96,3.56,4.1,1.96,3.56,4.35,1.9,3.47,4.02
Brazil,Serie A,20/04/2024,22:30,Bragantino,Corinthians,2.09,3.32,3.92,2.11,3.4,4,2.04,3.26,3.76
Brazil,Serie A,20/04/2024,22:30,Gremio,Cuiaba,1.65,3.9,5.69,1.7,3.9,6,1.64,3.74,5.4
Brazil,Serie A,21/04/2024,01:00,Atletico-MG,Cruzeiro,1.93,3.35,4.56,1.95,3.5,4.56,1.89,3.32,4.31
